"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10"
"Cold Heart - PNAU Remix","Elton John","Cold Heart (PNAU Remix)","2021-08-13",86,0.034,0.796,0.798,4.19e-05,0.0952,-6.312,0.0317,116.032,1,1,202735,0.942,4,"6zSpb8dQRaw0M1dK8PBwQz","glam rock","mellow gold","piano rock","rock",NA,NA,NA,NA,NA,NA
"STAY (with Justin Bieber)","The Kid LAROI","STAY (with Justin Bieber)","2021-07-09",86,0.0383,0.591,0.764,0,0.103,-5.484,0.0483,169.928,1,1,141805,0.478,4,"5HCyWlXZPP0y6Gqq8TgA20","australian hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lonely Boy","The Black Keys","El Camino","2011-12-06",81,0.00417,0.356,0.872,0.00975,0.0997,-7.837,0.068,166.3,2,1,193653,0.607,4,"5G1sTBGbZT5o4PNRc75RKI","alternative rock","blues rock","garage rock","indie rock","indietronica","modern blues rock","modern rock","punk blues","rock","roots rock"
"Unholy (feat. Kim Petras)","Sam Smith","Unholy (feat. Kim Petras)","2022-09-22",87,0.013,0.714,0.472,4.51e-06,0.266,-7.375,0.0864,131.121,2,1,156943,0.238,4,"3nqQXoyQOWXiESFLlDF1hG","pop","uk pop",NA,NA,NA,NA,NA,NA,NA,NA
"Boys Don't Cry","The Cure","Three Imaginary Boys","1979-05-11",81,0.00517,0.462,0.836,0,0.18,-5.766,0.0621,168.766,11,0,155973,0.671,4,"1QFh8OH1e78dGd3VyJZCAC","new wave","permanent wave","rock","uk post-punk",NA,NA,NA,NA,NA,NA
"Ruby","Kaiser Chiefs","Yours Truly, Angry Mob (Deluxe)","2007-01-01",69,0.00768,0.447,0.937,1.33e-05,0.0787,-2.811,0.0492,93.452,5,0,204200,0.431,4,"2sgBTNHz9ckmqj3rx3ez4M","modern rock","rock",NA,NA,NA,NA,NA,NA,NA,NA
"THATS WHAT I WANT","Lil Nas X","MONTERO","2021-09-17",83,0.00614,0.737,0.846,0,0.0486,-4.51,0.22,87.981,1,0,143901,0.546,4,"0e8nrvls4Qqv5Rfa2UhqmO","lgbtq+ hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakota","Stereophonics","Language.Sex.Violence.Other?","2005-01-01",72,0.129,0.506,0.93,0.00682,0.0931,-3.499,0.0675,146.994,4,1,297426,0.305,4,"3qaSqrrevBrb84xl5JlptU","britpop","modern rock","welsh rock",NA,NA,NA,NA,NA,NA,NA
"Dancing Feet (feat. DNCE)","Kygo","Dancing Feet (feat. DNCE)","2022-02-25",71,0.293,0.75,0.797,0,0.392,-4.826,0.118,105.949,0,1,215203,0.523,4,"4RAR8g8fZNB106ezUurnE0","edm","pop","pop dance","tropical house",NA,NA,NA,NA,NA,NA
"I Bet You Look Good On The Dancefloor","Arctic Monkeys","Whatever People Say I Am, That's What I'm Not","2006-01-29",78,0.00225,0.535,0.948,0,0.376,-4.19,0.0356,103.183,6,0,173680,0.778,4,"3DQVgcqaP3iSMbaKsd57l5","garage rock","modern rock","permanent wave","rock","sheffield indie",NA,NA,NA,NA,NA
"Sunshine","OneRepublic","Sunshine","2021-11-10",81,0.137,0.697,0.875,0,0.28,-4.621,0.034,140.069,5,1,163854,0.774,4,"5r43qanLhUCdBj8HN3fa6B","piano rock","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Light Switch","Charlie Puth","CHARLIE","2022-10-06",79,0.105,0.689,0.627,0.000321,0.0905,-5.692,0.308,184.008,6,1,187703,0.905,4,"1jEBSDN5vYViJQr78W7jr2","pop","viral pop",NA,NA,NA,NA,NA,NA,NA,NA
"Where Is My Mind? - Remastered","Pixies","Surfer Rosa","1988-03-21",81,0.0204,0.519,0.441,0.000453,0.076,-14.178,0.0353,81.334,4,1,234973,0.25,4,"7wCmS9TTVUcIhRalDYFgPy","alternative rock","boston rock","permanent wave","rock",NA,NA,NA,NA,NA,NA
"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris","Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","2022-07-15",66,0.276,0.81,0.733,6.73e-06,0.288,-6.338,0.0444,125.975,9,1,229282,0.9,4,"5lfWrciYtohtIMVDVZd0Rf","dance pop","edm","electro house","house","pop","pop dance","progressive house","uk dance",NA,NA
"A-Punk","Vampire Weekend","Vampire Weekend","2008-01-27",74,0.0103,0.551,0.819,0.0437,0.153,-4.489,0.0525,174.917,2,1,137760,0.846,4,"2DrGEaqoruCSn0FffWCf5O","baroque pop","chamber pop","garage rock","indie rock","indietronica","modern rock",NA,NA,NA,NA
"Beg for You (feat. Rina Sawayama)","Charli XCX","CRASH","2022-03-18",63,0.223,0.788,0.945,2.97e-06,0.115,-5.091,0.0599,128.036,9,1,168053,0.466,4,"11M8c9SHQYpd8DOrmcu25k","art pop","candy pop","metropopolis","pop","uk pop",NA,NA,NA,NA,NA
"Bad Habits","Ed Sheeran","=","2021-10-29",85,0.0451,0.807,0.893,2.79e-05,0.366,-3.745,0.0347,126.011,11,0,230746,0.537,4,"3rmo8F54jFF8OgYsqTxm5d","pop","singer-songwriter pop","uk pop",NA,NA,NA,NA,NA,NA,NA
"Message In A Bottle","The Police","Reggatta De Blanc (Remastered 2003)","1979-10-02",79,0.0338,0.577,0.808,1.33e-05,0.221,-7.04,0.039,151.008,1,0,290280,0.869,4,"1oYYd2gnWZYrt89EBXdFiO","album rock","classic rock","permanent wave","rock",NA,NA,NA,NA,NA,NA
"How You Like Me Now","The Heavy","The House That Dirt Built","2009-10-05",62,0.000973,0.647,0.71,0.703,0.0777,-4.692,0.029,110.059,0,1,217493,0.268,4,"0kHwTHf8ye0mSd66pwcrEN","bath indie","modern blues rock",NA,NA,NA,NA,NA,NA,NA,NA
"Used to Know Me","Charli XCX","CRASH","2022-03-18",61,0.0914,0.711,0.931,4.41e-05,0.0892,-4.042,0.0323,118.009,1,1,145840,0.775,4,"5dry5tz8yLcLuOJ3l6ZEQd","art pop","candy pop","metropopolis","pop","uk pop",NA,NA,NA,NA,NA
"Super Freaky Girl","Nicki Minaj","Queen Radio: Volume 1","2022-08-26",75,0.0509,0.951,0.878,1.61e-05,0.321,-2.565,0.211,133.014,2,1,170977,0.923,4,"2yjlYDiNiQkdxVqTlaSrlX","hip pop","pop","queens hip hop","rap",NA,NA,NA,NA,NA,NA
"Love It When You Hate Me (feat. blackbear)","Avril Lavigne","Love Sux","2022-02-25",59,0.00437,0.611,0.803,1.41e-06,0.604,-4.368,0.0394,92.497,5,1,145103,0.624,4,"6m0Dk7Cm7rWQLzCjeYIiIt","canadian pop","candy pop","dance pop","pop",NA,NA,NA,NA,NA,NA
"Bagno a mezzanotte","Elodie","Bagno a mezzanotte","2022-03-08",59,0.0986,0.81,0.734,0,0.355,-6.665,0.0544,107.993,11,0,178713,0.317,4,"5KkcthkQDnlhQN0WhO8DsM","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA
"I Love It (feat. Charli XCX)","Icona Pop","THIS IS... ICONA POP","2013-08-27",64,0.00952,0.711,0.906,1.64e-05,0.153,-2.671,0.0284,125.916,8,1,157152,0.824,4,"12zpU2S4lMdrK9dvsOoL1m","candy pop","dance pop","electropop","metropopolis","swedish electropop","swedish synthpop",NA,NA,NA,NA
"Wonderwall - Remastered","Oasis","(What's The Story) Morning Glory? (Deluxe Remastered Edition)","1995",80,0.000509,0.375,0.893,0,0.187,-4.097,0.0406,174.323,2,1,258773,0.434,4,"7ygpwy2qP3NbrxVkHvUhXY","beatlesque","britpop","madchester","permanent wave","rock",NA,NA,NA,NA,NA
"Naive","The Kooks","Inside In / Inside Out","2006-01-01",78,0.0759,0.391,0.808,0,0.149,-6.209,0.0892,100.304,8,0,203506,0.737,4,"7BHPGtpuuWWsvE7cCaMuEU","brighton indie","garage rock","modern rock","rock",NA,NA,NA,NA,NA,NA
"Woman","Doja Cat","Planet Her","2021-06-25",87,0.0888,0.824,0.764,0.00294,0.117,-4.175,0.0854,107.998,5,0,172626,0.881,4,"6Uj1ctrBOjOas8xZXGqKk4","dance pop","pop",NA,NA,NA,NA,NA,NA,NA,NA
"BABY GODDAMN","Tananai","BABY GODDAMN","2021-03-26",62,0.0317,0.819,0.764,2.73e-05,0.0579,-3.311,0.1,114.033,10,0,149605,0.885,4,"3yWHQ4n4ARLDfYTuT2NhnN","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crash","Charli XCX","CRASH","2022-03-18",55,0.378,0.688,0.905,0,0.411,-3.361,0.054,112.075,7,1,129985,0.85,4,"6WKDtdVILJvcfqpvSQgwAQ","art pop","candy pop","metropopolis","pop","uk pop",NA,NA,NA,NA,NA
"London Calling - Remastered","The Clash","London Calling (Remastered)","1979",75,0.123,0.651,0.801,0,0.0825,-7.34,0.0514,133.769,0,1,200480,0.776,4,"5jzma6gCzYtKB1DbEwFZKH","alternative rock","permanent wave","punk","rock",NA,NA,NA,NA,NA,NA
"Head on Fire","Griff","Head on Fire","2022-01-19",63,0.0174,0.693,0.728,7.2e-06,0.061,-6.065,0.0335,95.978,2,1,188645,0.655,4,"6QLNcOI6YCqdLAS6GLWXMj","uk pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alright","Supergrass","I Should Coco","1995-05-15",76,0.000479,0.467,0.958,0.199,0.299,-4.808,0.0775,145.92,4,0,180880,0.701,4,"5xC8uOesnn0udeXAYlAnoY","alternative rock","britpop","oxford indie",NA,NA,NA,NA,NA,NA,NA
"SNAP","Rosa Linn","SNAP","2022-03-19",88,0.107,0.565,0.636,9.9e-06,0.447,-8.198,0.0638,170.01,0,1,179551,0.525,4,"76OGwb5RA9h4FxQPT33ekc","alt z",NA,NA,NA,NA,NA,NA,NA,NA,NA
"West Coast","OneRepublic","West Coast","2022-02-25",70,0.317,0.685,0.699,0,0.0895,-7.803,0.0349,134.057,6,0,192947,0.884,4,"0sBJA2OCEECMs0HsdIQhvR","piano rock","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Boyfriend","Dove Cameron","Boyfriend","2022-02-11",83,0.232,0.345,0.612,0,0.194,-6.543,0.0608,179.773,7,0,153000,0.232,3,"59CfNbkERJ3NoTXDvoURjj","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Numb","Marshmello","Numb","2022-06-10",81,0.121,0.912,0.774,0.0127,0.101,-4.673,0.0455,119.966,0,0,155588,0.632,4,"10xV5l9nhLvFpR8mqzs0bL","brostep","edm","pop","progressive electro house",NA,NA,NA,NA,NA,NA
"Lightning","Charli XCX","CRASH","2022-03-18",54,0.0265,0.715,0.683,2.31e-05,0.209,-5.042,0.0476,119.159,11,1,237320,0.471,4,"4aguR8nLIlmF6WCOlCArhT","art pop","candy pop","metropopolis","pop","uk pop",NA,NA,NA,NA,NA
"BREAK MY SOUL","Beyoncé","BREAK MY SOUL","2022-06-21",71,0.0575,0.687,0.887,2.21e-06,0.27,-5.04,0.0826,114.941,1,0,278281,0.853,4,"2KukL7UlQ8TdvpaA7bY3ZJ","pop","r&b",NA,NA,NA,NA,NA,NA,NA,NA
"Sweetest Pie","Megan Thee Stallion","Sweetest Pie","2022-03-11",74,0.167,0.814,0.628,0,0.101,-7.178,0.221,123.977,7,1,201334,0.677,4,"7mFj0LlWtEJaEigguaWqYh","houston rap","pop","r&b","rap","trap queen",NA,NA,NA,NA,NA
"Finché Non Mi Seppelliscono","BLANCO","Blu Celeste","2021-09-09",67,0.349,0.727,0.833,0,0.232,-2.594,0.0316,130.024,4,1,168000,0.86,4,"16EJNayKtC09M0Fi7Py47s","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA
"Running Up That Hill (A Deal With God)","Kate Bush","Hounds Of Love","1985-09-16",85,0.719,0.629,0.545,0.00308,0.0604,-13.123,0.0546,108.376,10,0,298933,0.194,4,"1PtQJZVZIdWIYdARpZRDFO","art pop","art rock","baroque pop","new wave pop","permanent wave","piano rock","singer-songwriter",NA,NA,NA
"When You Were Young","The Killers","Sam's Town","2006-09-27",80,0.000152,0.467,0.988,0.0484,0.28,-3.313,0.112,130.433,11,1,220426,0.321,4,"70wYA8oYHoMzhRRkARoMhU","alternative rock","dance rock","modern rock","permanent wave","rock",NA,NA,NA,NA,NA
"Kill V. Maim","Grimes","Art Angels","2015-11-06",65,0.00744,0.578,0.947,0.0816,0.105,-2.431,0.0359,134.033,11,0,246006,0.456,4,"3WXhshrs1fzwF3rQE399Gq","art pop","canadian electropop","grave wave","indietronica","metropopolis","neo-synthpop",NA,NA,NA,NA
"good 4 u","Olivia Rodrigo","SOUR","2021-05-21",87,0.335,0.563,0.664,0,0.0849,-5.044,0.154,166.928,9,1,178146,0.688,4,"4ZtFanR9U6ndgddUvNcjcG","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dove Si Balla","Dargen D'Amico","Dove Si Balla","2022-02-02",61,0.176,0.592,0.603,0,0.123,-5.403,0.0933,145.94,0,1,198082,0.437,4,"3FVa0R2evbgjVOd3bejudr","italian adult pop","italian hip hop","italian pop","milan indie","r&b italiano",NA,NA,NA,NA,NA
"Ghost","Justin Bieber","Justice","2021-03-19",76,0.178,0.604,0.741,3.49e-05,0.409,-5.571,0.0475,153.947,2,1,153190,0.473,4,"5dPz35akJjPqb17yeqNwqH","canadian pop","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Karma Police","Radiohead","OK Computer","1997-05-28",79,0.0638,0.36,0.501,9.32e-05,0.172,-9.129,0.0258,74.807,7,1,264066,0.324,4,"63OQupATfueTdZMWTxW03A","alternative rock","art rock","melancholia","oxford indie","permanent wave","rock",NA,NA,NA,NA
"Lucky Man","The Verve","Urban Hymns (Super Deluxe / Remastered 2016)","1997-09-29",47,0.273,0.394,0.629,8.65e-05,0.0902,-7.584,0.0292,75.991,2,1,293586,0.181,4,"1cp98giGbex49OA8RkxgxO","britpop","permanent wave","rock","shoegaze",NA,NA,NA,NA,NA,NA
"Help I'm Alive","Metric","Fantasies","2009-05-02",65,0.00826,0.57,0.884,0.00322,0.364,-4.55,0.0601,118.485,5,0,286013,0.405,4,"0cahtHEywK64NSWqm2SDTi","canadian indie","canadian rock","indie rock","indietronica","metropopolis","neo-synthpop",NA,NA,NA,NA
"CUFF IT","Beyoncé","RENAISSANCE","2022-07-29",85,0.0368,0.78,0.689,9.69e-06,0.0698,-5.668,0.141,115.042,7,1,225388,0.642,4,"1xzi1Jcr7mEi9K2RfzLOqS","pop","r&b",NA,NA,NA,NA,NA,NA,NA,NA
"Float On","Modest Mouse","Good News For People Who Love Bad News","2004-04-05",77,0.013,0.649,0.888,2.23e-06,0.0888,-4.807,0.0293,100.975,6,1,208466,0.553,4,"2lwwrWVKdf3LR9lbbhnr6R","alternative rock","chamber pop","indie rock","indietronica","modern rock","washington indie",NA,NA,NA,NA
"Let's Dance to Joy Division","The Wombats","Proudly Present... A Guide to Love, Loss & Desperation","2007-11-05",65,0.00125,0.397,0.839,0,0.576,-6.674,0.102,116.947,4,1,191293,0.764,4,"7v9Ne4758aGFfFc5avh89h","liverpool indie","modern alternative rock","modern rock",NA,NA,NA,NA,NA,NA,NA
"Maybe You’re The Problem","Ava Max","Maybe You’re The Problem","2022-04-28",70,0.0453,0.53,0.835,0,0.0637,-3.69,0.11,166.02,9,1,190318,0.471,4,"0sb8ClU3CLoNblxkpmOKzA","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Late Night Talking","Harry Styles","Harry's House","2022-05-20",86,0.298,0.714,0.728,0,0.106,-4.595,0.0468,114.996,10,1,177954,0.901,4,"1qEmFfgcLObUfQm0j1W2CK","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"I'm Good (Blue)","David Guetta","I'm Good (Blue)","2022-08-26",92,0.00383,0.561,0.965,7.07e-06,0.371,-3.673,0.0343,128.04,7,0,175238,0.304,4,"4uUG5RXrOk84mYEfFvj3cK","big room","dance pop","edm","pop","pop dance",NA,NA,NA,NA,NA
"Shakerando","Rhove","Shakerando","2021-12-15",66,0.764,0.855,0.805,0.00708,0.302,-5.651,0.191,135.009,7,0,195555,0.469,4,"4EC028SvtlC25iHQSG2OIa","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA,NA,NA,NA
"Town Called Malice","The Jam","The Gift","1982-03-12",70,0.00228,0.542,0.91,0.00524,0.0686,-8.924,0.0873,101.774,7,1,173320,0.775,4,"0gdmDP6xy3ZV7JNoHWAN9k","mod revival","new romantic","new wave","punk",NA,NA,NA,NA,NA,NA
"Vegas (From the Original Motion Picture Soundtrack ELVIS)","Doja Cat","Vegas (From the Original Motion Picture Soundtrack ELVIS)","2022-05-06",80,0.0777,0.801,0.601,3.23e-05,0.145,-7.574,0.255,159.969,8,0,182906,0.74,4,"0hquQWY3xvYqN4qtiquniF","dance pop","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Ain't No Rest For The Wicked - Original Version","Cage The Elephant","Cage The Elephant","2008-01-01",70,0.0597,0.635,0.914,0,0.601,-5.631,0.111,156.014,0,1,175493,0.922,4,"7tCHpjktA50ihtkLz6bAnn","modern alternative rock","modern rock","pov: indie","punk blues","rock",NA,NA,NA,NA,NA
"Left and Right (Feat. Jung Kook of BTS)","Charlie Puth","CHARLIE","2022-10-06",83,0.619,0.881,0.592,1.32e-05,0.0901,-4.898,0.0324,101.058,2,1,154486,0.719,4,"5Odq8ohlgIbQKMZivbWkEo","pop","viral pop",NA,NA,NA,NA,NA,NA,NA,NA
"Another Love","OsTEKKe","Another Love","2022-09-29",68,0.15,0.63,0.458,0.0255,0.108,-14.172,0.0718,170.042,6,1,145676,0.208,4,"6Hh6pxNSScePI9zjKBIUg2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sweat - SOPHIE Remix","SONIKKU","Joyful Death","2020-04-17",47,0.426,0.775,0.59,0.739,0.0823,-9.825,0.0558,126.966,8,0,258340,0.437,4,"1CUCnTJVZy68TS34DX6kCx","escape room",NA,NA,NA,NA,NA,NA,NA,NA,NA
"FINIMONDO","M¥SS KETA","CLUB TOPPERIA","2022-05-26",52,0.033,0.796,0.842,5.2e-05,0.178,-6.94,0.231,126.008,7,1,171904,0.691,4,"0RFRr1i6USZRE66r5vB9OT","italian indie pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA
"Brividi","Mahmood","Brividi","2022-02-02",65,0.448,0.523,0.614,0,0.254,-4.435,0.0347,122.962,7,1,199146,0.342,4,"1ZMGp9MTXbtAPvcKa0U3zS","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA
"Ciao Ciao","La rappresentante di lista","Ciao Ciao","2022-02-02",58,0.125,0.747,0.819,2.61e-06,0.331,-4.602,0.134,117.994,4,0,184311,0.637,4,"0jLeyuu6mtsD384054xLah","indie siciliano","italian adult pop","italian alternative","italian indie pop","italian pop",NA,NA,NA,NA,NA
"Yuck","Charli XCX","CRASH (Deluxe)","2022-03-25",42,0.0585,0.765,0.675,1.51e-06,0.0703,-5.687,0.0402,100.939,1,1,138800,0.886,4,"2bFWJKaM3j7pklZmZVaIZY","art pop","candy pop","metropopolis","pop","uk pop",NA,NA,NA,NA,NA
"Heat Waves","Glass Animals","Dreamland","2020-08-07",91,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,11,1,238805,0.531,4,"3USxtqRwSYz57Ewm6wWRMp","gauze pop","indietronica","modern rock","pov: indie","shiver pop",NA,NA,NA,NA,NA
"Crazy What Love Can Do","David Guetta","Crazy What Love Can Do","2022-04-08",80,0.0282,0.601,0.713,0,0.158,-3.758,0.0449,122.872,4,0,169756,0.464,4,"1WCEAGGRD066z2Q89ObXTq","big room","dance pop","edm","pop","pop dance",NA,NA,NA,NA,NA
"farfalle","sangiovanni","farfalle","2022-02-03",59,0.0927,0.733,0.784,0,0.195,-5.211,0.0606,120.016,3,1,164000,0.377,4,"5HujDMiRNqZwEzVAh3oFD3","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA
"Something Good Can Work","Two Door Cinema Club","Tourist History","2010-03-01",67,0.00553,0.65,0.836,0.00101,0.192,-5.101,0.0334,119.933,0,1,162906,0.656,4,"67SrO8B3O8iUq0AmEh0VzJ","indie rock","indietronica","irish rock","modern alternative rock","modern rock","northern irish indie",NA,NA,NA,NA
"Farewell To The Fairground","White Lies","To Lose My Life... (Bonus remix version)","2008-01-01",58,8.12e-05,0.523,0.776,0.00335,0.155,-5.339,0.0376,118.039,9,1,256573,0.294,4,"4wCsnvMyDboBxSDgipm2z0","alternative dance","british indie rock","dance-punk","indie rock","modern rock","new rave",NA,NA,NA,NA
"Atomic - Remastered/2001","Blondie","Eat To The Beat","1979-10-01",49,0.0451,0.598,0.727,0.226,0.0843,-7.596,0.0318,135.228,4,0,280306,0.9,4,"6eOHOpNXzYUx79NDB4dMRd","candy pop","new wave pop","permanent wave","power pop","rock","synthpop",NA,NA,NA,NA
"Friday I'm In Love","The Cure","Wish","1992-01-01",80,0.00126,0.526,0.763,6.75e-05,0.359,-12.663,0.0341,136.205,0,0,215160,0.514,4,"4QlzkaRHtU8gAdwqjWmO8n","new wave","permanent wave","rock","uk post-punk",NA,NA,NA,NA,NA,NA
"Highway to Hell","AC/DC","Highway to Hell","1979-07-27",87,0.061,0.574,0.913,0.00158,0.156,-4.793,0.133,115.728,6,0,208400,0.423,4,"2zYzyRzz6pRmhPzyfMEC8s","australian rock","hard rock","rock",NA,NA,NA,NA,NA,NA,NA
