"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"Copenhague","Vetusta Morla","Un Día en el Mundo","2008-04-21",63,0.411,0.559,0.742,0.0107,0.133,-3.945,0.0243,92.959,9,1,303693,0.482,4,"4bZEZhCq2kqUxnMacXVl5x","cantautor","latin rock","rock alternativo espanol","spanish indie pop","spanish rock",NA,NA,NA
"Your Song","Elton John","Elton John","1970-04-10",82,0.828,0.554,0.315,5.53e-06,0.101,-11.028,0.0298,128.157,3,1,241786,0.325,4,"38zsOOcu31XbbYj9BIPUF1","glam rock","mellow gold","piano rock","rock",NA,NA,NA,NA
"Blowin' in the Wind","Bob Dylan","The Freewheelin' Bob Dylan","1963-05-27",70,0.914,0.38,0.0993,2.32e-05,0.0605,-20.567,0.0509,174.874,2,1,165426,0.44,4,"18GiV1BaXzPVYpp9rmOg0E","classic rock","country rock","folk","folk rock","psychedelic rock","rock","roots rock","singer-songwriter"
"Igual Que Ayer","Los Enanitos Verdes","Igual Que Ayer","1992-01-01",65,0.0185,0.621,0.706,0,0.436,-11.262,0.0283,137.145,7,1,290063,0.88,4,"2JlVEgNJwskpAGSudKPqLD","argentine rock","latin alternative","latin pop","latin rock","mexican pop","rock en espanol","ska argentino",NA
"La Casa","Caramelos De Cianuro","Caramelos de Cianuro","2010",57,0.33,0.71,0.679,0.00419,0.197,-8.331,0.0248,108.005,0,1,268800,0.82,4,"73jLhrKOby9QOBdAdpnsOl","venezuelan rock",NA,NA,NA,NA,NA,NA,NA
"Flaca","Andrés Calamaro","Alta Suciedad","1997",78,0.21,0.739,0.745,0.0135,0.127,-6.658,0.0267,109.326,7,1,277653,0.949,4,"1p7m9H4H8s0Y7SgRm7j3ED","argentine rock","cantautor","latin alternative","latin rock","pop argentino","rock en espanol",NA,NA
"Hard to Concentrate","Red Hot Chili Peppers","Stadium Arcadium","2006-05-09",59,0.156,0.641,0.502,4.35e-06,0.311,-7.334,0.0251,105.634,7,1,241840,0.326,4,"37kTASujIfZZ27NV7PfIrf","alternative rock","funk metal","funk rock","permanent wave","rock",NA,NA,NA
"Luz De Dia","Los Enanitos Verdes","Cronicas","2007-01-01",55,0.525,0.623,0.587,0.000345,0.104,-7.241,0.0275,121.983,0,1,267666,0.538,4,"4pxHBdRmwqhiv2B5zy3KG3","argentine rock","latin alternative","latin pop","latin rock","mexican pop","rock en espanol","ska argentino",NA
"Diamants","Els Catarres","Diamants","2022-02-25",40,0.0517,0.547,0.649,0.00315,0.365,-6.895,0.0348,90.078,5,1,217518,0.384,4,"2nl5qpV7DFuX86Wb4KZb5t","rock catala",NA,NA,NA,NA,NA,NA,NA
"Wake Me up When September Ends","Green Day","American Idiot","2004-09-21",82,0.023,0.546,0.814,0,0.0972,-5.146,0.0314,104.98,7,1,285653,0.146,4,"3ZffCQKLFLUvYM59XKLbVm","modern rock","permanent wave","punk","rock",NA,NA,NA,NA
"Adiós","Gustavo Cerati","Ahí Vamos","2006-04-04",73,0.14,0.495,0.596,0.00316,0.114,-5.45,0.024,94.119,2,1,233746,0.284,4,"1rh4kDY9T4fHVDum8Foi5k","argentine rock","latin alternative","latin rock","rock en espanol",NA,NA,NA,NA
"Tiempo al Tiempo","Los Kjarkas","37 Años","2008-02-05",4,0.732,0.446,0.537,1.42e-05,0.125,-15.846,0.0355,142.208,4,0,270158,0.586,4,"3vQICuGClqRcEsGHBnOpWT","charango","folklore boliviano","musica andina","tinku",NA,NA,NA,NA
"The Zephyr Song","Red Hot Chili Peppers","By the Way (Deluxe Edition)","2002-07-09",75,0.013,0.725,0.803,3.66e-05,0.0891,-4.083,0.0337,117.391,2,1,231933,0.403,4,"1ndGB6rvxKYN9seCYO1dTF","alternative rock","funk metal","funk rock","permanent wave","rock",NA,NA,NA
"Fuentes de Ortiz","Ed Maverick","mix pa llorar en tu cuarto","2018-03-02",79,0.946,0.83,0.159,2.02e-05,0.362,-14.461,0.0383,104.95,1,1,207400,0.189,4,"0akyEssGRVHstqCSWXusJL","chihuahua indie","indie triste","mexican indie",NA,NA,NA,NA,NA
"Enamorándonos","Cabas","Enamorándonos","2015-11-20",64,0.141,0.77,0.857,0.00068,0.0688,-2.241,0.0442,120.015,2,1,187000,0.822,4,"0hToRwOyIHYlcJ2gm8KsKH","colombian pop","latin pop","reggaeton colombiano",NA,NA,NA,NA,NA
"A Primera Vista","Pedro Aznar","A Roar Of Southern Clouds","2006-06-06",53,0.656,0.437,0.155,6.57e-05,0.171,-15.078,0.0325,82.033,0,1,185933,0.352,4,"4Xunts6NLofGZCFEICTDTg","argentine rock","rock nacional",NA,NA,NA,NA,NA,NA
"Wellerman - Sea Shanty","Nathan Evans","Wellerman (Sea Shanty)","2021-01-21",76,0.614,0.675,0.359,0,0.137,-5.157,0.108,191.903,3,1,155333,0.792,4,"54OBgO0Xwu20Jak9TMXbR7",NA,NA,NA,NA,NA,NA,NA,NA
"Qué bonito fue","El David","Sin Final Feliz","2019-11-26",71,0.963,0.505,0.207,0.0122,0.103,-12.4,0.032,109.708,7,0,144215,0.323,4,"3ppzEzYnSKIBZ2tndbmOLp","indie triste",NA,NA,NA,NA,NA,NA,NA
"Lo Que No Fue No Será","Cristian Castro","Viva El Príncipe (Deluxe Version)","2010-11-30",47,0.697,0.416,0.491,0,0.0978,-6.944,0.0338,154.207,0,1,228106,0.434,4,"22bYzpMfERYXpq88ws2q3n","latin arena pop","latin pop",NA,NA,NA,NA,NA,NA
"La Media Vuelta","Luis Miguel","Segundo Romance","1994-08-30",80,0.291,0.631,0.683,0,0.0994,-8.788,0.0344,97.959,7,1,161040,0.708,4,"1lKI9y1DL6QnYTZguVmACX","bolero","latin pop",NA,NA,NA,NA,NA,NA
"Años","Da Pawn","Verano en Coma","2017-09-20",31,0.0374,0.614,0.56,0.0114,0.124,-7.873,0.0235,96.016,1,0,229206,0.376,4,"1TISpLwN7JVYJxLz21vEex","ecuadorian indie",NA,NA,NA,NA,NA,NA,NA
"Papá Cuéntame Otra Vez","Ismael Serrano","Atrapados En Azul","1997-01-01",54,0.767,0.54,0.445,0,0.256,-11.279,0.0641,178.131,2,1,177266,0.593,4,"5lg2cApHn9zCVkJcwou0iN","cantautor","nueva cancion","trova",NA,NA,NA,NA,NA
"Glimpse of Us","Joji","Glimpse of Us","2022-06-10",85,0.891,0.44,0.317,4.78e-06,0.141,-9.258,0.0531,169.914,8,1,233456,0.268,3,"6xGruZOHLs39ZbVccQTuPZ","viral pop",NA,NA,NA,NA,NA,NA,NA
"La Barca","Luis Miguel","Romance","1991-11-19",70,0.504,0.491,0.698,1.81e-06,0.235,-6.724,0.0357,177.692,0,0,209653,0.543,4,"2MkeDQiyZ8MV45IjLhCPSF","bolero","latin pop",NA,NA,NA,NA,NA,NA
"A Dios Le Pido","Juanes","Un Día Normal","2002-01-01",76,0.0683,0.673,0.841,0,0.0965,-3.564,0.0557,97.027,7,1,205373,0.94,4,"129lYDVKnWtlJc2PZJviuA","colombian pop","latin pop","mexican pop","rock en espanol",NA,NA,NA,NA
"Confieso","Kany García","Soy Yo","2018-05-18",75,0.915,0.476,0.244,0,0.0975,-8.361,0.0997,177.688,9,1,224226,0.36,4,"44kI7aJvJAYJkREVk0Rmei","latin pop","puerto rican pop",NA,NA,NA,NA,NA,NA
"What You Know","Two Door Cinema Club","Tourist History","2010-03-01",77,0.000675,0.549,0.754,6.24e-06,0.0912,-4.011,0.0407,139.052,6,0,189693,0.828,4,"4JHg4nNYUJQ5HULcCmI18R","indie rock","indietronica","irish rock","modern alternative rock","modern rock","northern irish indie",NA,NA
"La Quiero a Morir (feat. Alejandro Sanz)","Jarabe De Palo","¿Y Ahora Que Hacemos?","2011",61,0.528,0.407,0.584,7.2e-06,0.0975,-4.654,0.0423,171.745,7,1,198506,0.142,4,"2U7uSWhR1T9SaVKhq4j7yN","latin alternative","latin rock","rock en espanol","spanish pop","spanish rock",NA,NA,NA
"Plural Siendo Singular","José Madero","Carmesí","2016-04-29",63,0.532,0.49,0.466,1.27e-06,0.257,-8.996,0.0467,75.835,0,1,210186,0.672,4,"13vs8iIpPs7E625qGqgpUm","mexican indie",NA,NA,NA,NA,NA,NA,NA
"Alegre Depresión","Verde 70","Alegre Depresión","2000-02-01",31,0.375,0.676,0.551,0.000156,0.197,-7.489,0.047,112.012,2,1,178226,0.354,4,"3Ti9NFNkmxeZPJVgFhiKbH","ecuadorian alternative rock",NA,NA,NA,NA,NA,NA,NA
"Tengo Ganas","Andrés Cepeda","El Carpintero","2001-11-01",61,0.539,0.745,0.471,0,0.138,-7.518,0.0608,99.105,1,0,154880,0.545,4,"18qnAiJIZRemeBljaZtokk","colombian pop",NA,NA,NA,NA,NA,NA,NA
"La Verdad","Siloé","La Verdad","2016-01-01",57,0.734,0.611,0.624,0,0.0629,-4.349,0.0349,117.143,9,1,157964,0.523,4,"5DrikCrFK2V1F7NtEBqSXO","spanish indie pop",NA,NA,NA,NA,NA,NA,NA
"Triunfamos","Los Panchos","La Absoluta Colección","2017-03-10",50,0.965,0.811,0.32,1.28e-06,0.201,-12.376,0.0411,110.767,10,0,133960,0.904,4,"00FbrAzIR77LQOwe0r0uL5","bolero","bolero mexicano","ranchera",NA,NA,NA,NA,NA
"All I Want Is to Be With You","John Mayer","Sob Rock","2021-07-16",53,0.106,0.522,0.426,0.674,0.224,-7.445,0.0242,93.049,0,1,244200,0.304,4,"0wcEUeOslMI8dPB7QjUMiW","neo mellow","singer-songwriter",NA,NA,NA,NA,NA,NA
"Amor Como Fuego","Hillsong en Español","En Mi Lugar","2011-10-18",48,0.00176,0.341,0.635,0.000711,0.123,-6.975,0.0314,161.925,4,1,381760,0.0732,4,"76AGVYQz6h8Fp2mARW7gjm","latin christian","latin worship","world worship",NA,NA,NA,NA,NA
"Te Ví en un Tren","Los Enanitos Verdes","Recupera tus Clásicos","2010-04-27",34,0.012,0.574,0.929,0,0.325,-5.343,0.0303,136.85,7,1,248293,0.762,4,"05GMsr8VecyugyR6XFhqdi","argentine rock","latin alternative","latin pop","latin rock","mexican pop","rock en espanol","ska argentino",NA
"Corazón partío","Alejandro Sanz","MTV Unplugged","2001-11-19",55,0.578,0.532,0.859,0,0.986,-6.783,0.0874,117.081,5,1,300106,0.5,5,"2EdAzvb3Qc6E8h8glHD9jF","cantautor","latin arena pop","latin pop","mexican pop",NA,NA,NA,NA
"Te Para 3 - MTV Unplugged","Soda Stereo","Comfort Y Musica Para Volar","1996-09-01",69,0.707,0.523,0.339,0.0111,0.709,-9.913,0.0275,115.7,2,1,247000,0.117,3,"2kMVxFh1y5gow2hBtqGO4m","argentine rock","latin alternative","latin rock","post-punk argentina","rock en espanol","ska argentino",NA,NA
"Galapagos","Kakkmaddafakka","KMF","2016-03-18",19,0.0423,0.54,0.831,0.336,0.342,-7.742,0.0311,142.792,0,1,195933,0.617,4,"05eVf7FxuvmvwJQIB8ncui","bergen indie",NA,NA,NA,NA,NA,NA,NA
"Mi Primer Dia Sin Ti","Los Enanitos Verdes","Big Bang","1994-01-01",68,0.129,0.526,0.649,0,0.271,-5.534,0.0241,83.405,9,1,268600,0.408,4,"7eKkXV2jH4xGefItHAUk9g","argentine rock","latin alternative","latin pop","latin rock","mexican pop","rock en espanol","ska argentino",NA
"Al lado del camino","Fito Paez","Abre","1999-07-27",63,0.00496,0.281,0.819,0,0.116,-5.219,0.0348,93.49,0,1,326213,0.265,3,"4Ft15s9T7pcG7O85VbdxVl","argentine rock","latin alternative","latin rock","rock en espanol",NA,NA,NA,NA
"TQM","Little Jesus","Río Salvaje","2016-06-17",62,0.013,0.572,0.388,0.00655,0.33,-9.131,0.0328,105.031,7,1,319026,0.235,3,"3ugSNE8PdPr2sfRWSNfCtX","indie rock mexicano","latin alternative","latin rock","mexican indie","mexican rock",NA,NA,NA
"Desde Mi Interior","Hillsong en Español","Unidos Permanecemos","2006-05-01",54,0.186,0.459,0.473,2.07e-05,0.0997,-8.574,0.0265,137.91,0,1,389133,0.143,4,"0uUZfX8GrddV8w49hhcNMn","latin christian","latin worship","world worship",NA,NA,NA,NA,NA
"San Lucas","Kevin Kaarl","San Lucas","2019-11-07",80,0.86,0.577,0.363,0.000282,0.0868,-12.378,0.0263,91.511,7,1,247196,0.265,4,"75UMtPC77vqKRwfSuYuNPO","indie triste",NA,NA,NA,NA,NA,NA,NA
"Nuestro Juramento","Julio Jaramillo","El Ruiseñor de America","1989-02-08",69,0.774,0.836,0.314,0.00121,0.0676,-16.266,0.0393,125.174,11,0,195936,0.777,4,"4F6Ne3xyctrytvYm9W68ll","bolero","folklore ecuatoriano","musica popular colombiana",NA,NA,NA,NA,NA
"Santeria","Sublime","Sublime","1996-07-30",58,0.0208,0.67,0.753,2.71e-06,0.147,-5.058,0.0383,90.385,1,0,183160,0.555,4,"2Z2vOukzwOgqR4dkymRSWd","rap rock","reggae fusion","ska mexicano","ska punk",NA,NA,NA,NA
"HENTAI","ROSALÍA","MOTOMAMI","2022-03-18",61,0.879,0.583,0.297,0,0.127,-11.273,0.406,124.279,7,0,162906,0.291,3,"4kroNlz8BTfswE4M0i3YCh","latin viral pop","pop","r&b en espanol",NA,NA,NA,NA,NA
"Contigo","Elefante","Contigo","2018-02-16",45,0.286,0.634,0.631,0,0.122,-8.413,0.0254,135.061,4,1,216160,0.445,4,"08pTiz7esTei1eOpIN5T0e","latin alternative","latin arena pop","latin pop","mexican pop","mexican rock","rock en espanol",NA,NA
"As It Was","Harry Styles","Harry's House","2022-05-20",95,0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,173.93,6,0,167303,0.662,4,"4Dvkj6JhhA12EX05fT7y2e","pop",NA,NA,NA,NA,NA,NA,NA
"These Are the Ways","Red Hot Chili Peppers","Unlimited Love","2022-04-01",53,0.00016,0.42,0.905,0.0212,0.253,-5.419,0.0804,127.62,9,1,236216,0.306,4,"1KtXgVTeu3GUXHrOAef6QQ","alternative rock","funk metal","funk rock","permanent wave","rock",NA,NA,NA
"Girl from the North Country","Bob Dylan","The Freewheelin' Bob Dylan","1963-05-27",53,0.883,0.538,0.115,8.42e-05,0.113,-19.536,0.0335,102.296,10,1,199573,0.312,4,"739sLmfUkVFoyPtb0C3263","classic rock","country rock","folk","folk rock","psychedelic rock","rock","roots rock","singer-songwriter"
"Ojalá","Silvio Rodríguez","Al Final de Este Viaje...","1978-01-01",68,0.907,0.526,0.235,4.44e-06,0.111,-14.074,0.0991,91.24,7,0,212481,0.377,1,"5sQGo3fB2NoFalyy4uZjiu","cantautor","latin alternative","nueva cancion","trova",NA,NA,NA,NA
"Como Tú (Magic Music Box)","León Larregui","Solstis - De León Larregui","2012-01-01",71,0.000292,0.568,0.903,0.724,0.0764,-7.647,0.0982,122.604,0,1,232120,0.762,4,"05neYxc9nmlxJ7uTOZPlnq","latin alternative","latin rock","rock en espanol",NA,NA,NA,NA,NA
"Sun","Two Door Cinema Club","Beacon","2012-09-03",64,0.0112,0.647,0.532,0.000271,0.1,-5.464,0.0282,96.979,4,0,187720,0.621,4,"5cIWkWH6xVdEllQ9ksuu2E","indie rock","indietronica","irish rock","modern alternative rock","modern rock","northern irish indie",NA,NA
"No Es Casual","Andrés Cepeda","Día Tras Día","2009-10-27",47,0.498,0.611,0.766,0,0.0961,-5.079,0.0495,154.044,0,1,211461,0.841,4,"3heEZDyPJhxNUfnI3bE9Hu","colombian pop",NA,NA,NA,NA,NA,NA,NA
"3000 Días","Da Pawn","Verano en Coma","2017-09-20",33,0.679,0.576,0.384,0.00105,0.246,-9.105,0.0257,112.951,0,1,251117,0.288,4,"13tpdwL2PE8DHm7ue6DWlo","ecuadorian indie",NA,NA,NA,NA,NA,NA,NA
"Your Body Is a Wonderland","John Mayer","Room For Squares","2001-08-16",76,0.0206,0.647,0.729,0.0489,0.134,-6.251,0.0236,94.01,5,1,249626,0.687,4,"7vFv0yFGMJW3qVXbAd9BK9","neo mellow","singer-songwriter",NA,NA,NA,NA,NA,NA
