"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"Forever Young","John De Sohn","Made For You","2019-11-29",62,0.178,0.653,0.621,0,0.0952,-6.045,0.0308,121.98,8,1,167911,0.584,4,"0343bYQtSfznf6v90jRLRK","deep pop edm","pop dance","swedish tropical house",NA,NA,NA,NA,NA
"Lose Control","MEDUZA","Lose Control","2019-10-11",77,0.129,0.598,0.526,0,0.14,-8.659,0.0415,123.935,10,0,168387,0.529,4,"7CHi4DtfK4heMlQaudCuHK","edm","pop dance","pop house","uk dance",NA,NA,NA,NA
"Ghost","Justin Bieber","Justice","2021-03-19",89,0.185,0.601,0.741,2.91e-05,0.415,-5.569,0.0478,153.96,2,1,153190,0.441,4,"6I3mqTwhRpn34SLVafSH7G","canadian pop","pop",NA,NA,NA,NA,NA,NA
"Dove sei","Neffa","Molto calmo","2013-06-18",55,0.142,0.41,0.787,0,0.181,-6.573,0.0425,84.836,5,0,239946,0.627,4,"694LrzNH8SUIpNumvdOyAW","italian adult pop","italian pop","italian underground hip hop","rap napoletano",NA,NA,NA,NA
"La La La","Naughty Boy","Hotel Cabana (Deluxe Version)","2013-01-01",77,0.107,0.772,0.65,1.13e-06,0.0905,-5.202,0.0306,125.083,6,0,222200,0.262,4,"3wPPWcVuinAU7dXcJXtCID","uk contemporary r&b",NA,NA,NA,NA,NA,NA,NA
"Paradise (feat. Dermot Kennedy)","MEDUZA","Paradise","2020-10-30",77,0.0689,0.632,0.595,0,0.209,-7.644,0.0401,124.114,8,0,167903,0.435,4,"6ft4hAq6yde8jPZY2i5zLr","edm","pop dance","pop house","uk dance",NA,NA,NA,NA
"Saigon","Guè","Mr. Fini","2020-11-26",53,0.0715,0.69,0.719,0,0.107,-5.755,0.0838,89.993,2,0,218666,0.315,4,"1AKlKNFbA6Gxj7S2Sd9DP1","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"Titanium (feat. Sia)","David Guetta","Nothing but the Beat (Ultimate Edition)","2012-12-07",83,0.0679,0.604,0.787,0.15,0.127,-3.674,0.103,126.062,0,0,245040,0.301,4,"0TDLuuLlV54CkRRUOahJb4","big room","dance pop","edm","pop","pop dance",NA,NA,NA
"Hoodboy - Remix","Coyote Jo Bastard","Hoodboy (Remix)","2020-08-06",53,0.126,0.864,0.626,0,0.0911,-5.99,0.207,127.934,6,0,202412,0.608,4,"0RS1tp85979N7W73I0jBsl","rap francais",NA,NA,NA,NA,NA,NA,NA
"Che Dio Mi Benedica","Luchè","Malammore","2016-07-15",58,0.526,0.593,0.684,0,0.581,-5.588,0.0368,133.889,0,1,218695,0.749,4,"7ohj51SSBsOPh2phOZkn9d","italian hip hop","italian pop","rap napoletano",NA,NA,NA,NA,NA
"PANICO (feat. Takagi & Ketra)","Lazza","SIRIO","2022-04-07",71,0.0615,0.788,0.731,0,0.0997,-6.082,0.047,127.03,4,0,188564,0.258,4,"0SsUOrXUM2gZxVLYizZfQZ","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA,NA,NA
"S.e.n.i.c.a.r.","Marracash","King Del Rap","2011-01-01",62,0.234,0.653,0.903,0,0.106,-2.723,0.0382,142.025,1,0,205720,0.764,4,"4emN0MkKDuGAdeDGxBlAML","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA,NA,NA,NA
"I'm Good (Blue)","David Guetta","I'm Good (Blue)","2022-08-26",92,0.00383,0.561,0.965,7.07e-06,0.371,-3.673,0.0343,128.04,7,0,175238,0.304,4,"4uUG5RXrOk84mYEfFvj3cK","big room","dance pop","edm","pop","pop dance",NA,NA,NA
"Cold Heart - PNAU Remix","Elton John","The Lockdown Sessions","2021-10-22",82,0.0354,0.795,0.8,7.25e-05,0.0915,-6.32,0.0309,116.032,1,1,202735,0.934,4,"6JIC3hbC28JZKZ8AlAqX8h","glam rock","mellow gold","piano rock","rock",NA,NA,NA,NA
"Falling Down - Bonus Track","Lil Peep","Come Over When You're Sober, Pt. 2","2018-11-09",82,0.0175,0.669,0.574,0.00294,0.146,-6.442,0.0286,120.013,4,0,196400,0.273,4,"4jvjzW7Hm0yK4LvvE0Paz9","cloud rap","emo rap","lgbtq+ hip hop",NA,NA,NA,NA,NA
"25 ore RMX (feat. Ernia & Shablo)","Guè","Mr. Fini","2020-11-26",48,0.0166,0.844,0.76,0.000125,0.14,-3.72,0.131,144.955,0,0,183724,0.883,4,"0Q7Y2E8cj8uvNXI3hs9Mvc","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"Polo Nord - [C+N Progressive Mix]","Massimo Pericolo","Scialla Semper (Emodrill Repack)","2019-09-27",57,0.00619,0.645,0.895,0.00311,0.261,-4.786,0.0347,126.012,6,1,249303,0.174,4,"5hxiymclWemYbj60cN4Dht","italian hip hop","trap metal italiana",NA,NA,NA,NA,NA,NA
"BUONANOTTE ❈ (con NOYZ NARCOS, FRANCO126 & SIDE BABY)","MACE","OBE","2021-02-04",59,0.498,0.692,0.711,0,0.233,-6.272,0.102,139.985,7,1,208853,0.718,4,"70im6fWHD1m7VQve5I6Yim","funk carioca","italian hip hop","italian pop",NA,NA,NA,NA,NA
"Boulevard of Broken Dreams","Green Day","Boulevard of Broken Dreams","2004",76,0.00394,0.49,0.679,1.54e-05,0.0383,-3.68,0.0309,167.046,8,1,261266,0.506,4,"1hwJKpe0BPUsq6UUrwBWTw","modern rock","permanent wave","punk","rock",NA,NA,NA,NA
"Caffè","Bresh","ORO BLU","2022-03-04",56,0.0291,0.644,0.755,0,0.0809,-6.768,0.0422,94.529,8,1,189025,0.58,4,"2WoqekZTPdDdiJ1RgSldUT","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA,NA
"Bad Habits","Ed Sheeran","=","2021-10-29",85,0.0451,0.807,0.893,2.79e-05,0.366,-3.745,0.0347,126.011,11,0,230746,0.537,4,"3rmo8F54jFF8OgYsqTxm5d","pop","singer-songwriter pop","uk pop",NA,NA,NA,NA,NA
"Finché Non Mi Seppelliscono","BLANCO","Blu Celeste","2021-09-09",67,0.349,0.727,0.833,0,0.232,-2.594,0.0316,130.024,4,1,168000,0.86,4,"16EJNayKtC09M0Fi7Py47s","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"I Ain't Worried","OneRepublic","I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")","2022-05-13",91,0.0826,0.704,0.797,0.000745,0.0546,-5.927,0.0475,139.994,0,1,148485,0.825,4,"4h9wh7iOZ0GGn8QVp4RAOB","piano rock","pop",NA,NA,NA,NA,NA,NA
"Outside (feat. Ellie Goulding)","Calvin Harris","Motion","2014-10-31",84,0.213,0.646,0.823,0,0.322,-4.123,0.0394,128.035,2,0,227266,0.418,4,"7MmG8p0F9N3C4AXdK6o6Eb","dance pop","edm","electro house","house","pop","pop dance","progressive house","uk dance"
"Shivers","Ed Sheeran","=","2021-10-29",87,0.281,0.788,0.859,0,0.0424,-2.724,0.0856,141.02,2,1,207853,0.822,4,"50nfwKoDiSYg8zOCREWAm5","pop","singer-songwriter pop","uk pop",NA,NA,NA,NA,NA
"Heat Waves","Glass Animals","Dreamland","2020-08-07",91,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,11,1,238805,0.531,4,"3USxtqRwSYz57Ewm6wWRMp","gauze pop","indietronica","modern rock","pov: indie","shiver pop",NA,NA,NA
"If I Lose Myself","OneRepublic","Native","2014-01-01",53,0.096,0.485,0.699,0,0.109,-6.017,0.0479,140.096,2,1,241560,0.242,4,"0ett0qCHbl0vdSRFhRSkMc","piano rock","pop",NA,NA,NA,NA,NA,NA
"Salvador Dalì","Marracash","Santeria","2016-06-24",64,0.215,0.805,0.796,0,0.111,-5.226,0.0774,127.99,10,0,245197,0.353,4,"4Dub4JaxFLCeb2NqFsLiZ2","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA,NA,NA,NA
"Musica leggerissima","Colapesce","I Mortali²","2021-03-19",63,0.012,0.676,0.792,0,0.262,-4.1,0.0265,119.98,2,0,236720,0.674,4,"4LAWJfQbfeMrlX0ShqhC2a","indie siciliano","italian adult pop","italian alternative","italian indie pop","italian pop",NA,NA,NA
"Scusa","Gemitaiz","Nonostante Tutto","2016-01-22",51,0.0473,0.745,0.55,0,0.204,-9.53,0.0443,110.973,6,0,246598,0.451,4,"6dSgAy5GgkRaFRBvJ2Amis","italian hip hop",NA,NA,NA,NA,NA,NA,NA
"Lose Somebody","Kygo","Golden Hour","2020-05-29",71,0.344,0.58,0.586,0,0.0755,-6.883,0.0357,147.988,1,1,199549,0.507,4,"1sgDyuLooyvEML4oHspNza","edm","pop","pop dance","tropical house",NA,NA,NA,NA
"Grenade","Bruno Mars","Doo-Wops & Hooligans","2010-10-05",82,0.148,0.704,0.558,0,0.107,-7.273,0.0542,110.444,2,0,222091,0.245,4,"4lLtanYk6tkMvooU0tWzG8","dance pop","pop",NA,NA,NA,NA,NA,NA
"Giacomo (feat. Rame)","Guè","Mr. Fini","2020-11-26",44,0.0835,0.717,0.877,0.000129,0.0787,-3.971,0.0598,116.927,11,0,203076,0.507,4,"0iknx9EPlq2Sm2D1dva17N","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"Chic","Izi","Fenice","2016-05-13",65,0.269,0.471,0.628,0,0.195,-6.197,0.187,129.996,2,0,212640,0.19,4,"7jUJ2RmT4PFHHq4goMWqm3","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA,NA
"Good Riddance (Time of Your Life)","Green Day","Nimrod","1997-10-14",84,0.183,0.475,0.432,0,0.161,-7.844,0.0302,94.605,7,1,153466,0.648,4,"6ORqU0bHbVCRjXm9AjyHyZ","modern rock","permanent wave","punk","rock",NA,NA,NA,NA
"Umbrella","Rihanna","Good Girl Gone Bad: Reloaded","2008-06-02",86,0.00864,0.583,0.829,0,0.0426,-4.603,0.134,174.028,1,1,275986,0.575,4,"49FYlytm3dAAraYgpoJZux","barbadian pop","pop","urban contemporary",NA,NA,NA,NA,NA
"SUPERMODEL","Måneskin","SUPERMODEL","2022-05-13",75,0.00164,0.636,0.876,0,0.117,-3.413,0.0555,120.983,7,1,148064,0.799,4,"63WuQOXohQIxOxIFA2K7bR","indie rock italiano","italian pop",NA,NA,NA,NA,NA,NA
"PARTIRE DA TE","Rkomi","TAXI DRIVER","2021-11-30",64,0.222,0.656,0.796,0,0.36,-4.294,0.0437,95.009,11,0,221019,0.699,4,"4HpqJZ9YSAaVsmfNGAyl9w","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"Pleasantville","Nitro","Suicidol","2015-05-26",66,0.00166,0.446,0.843,6.77e-06,0.186,-5.366,0.156,129.132,11,0,349560,0.186,4,"4T7nI6RllPyFPXJtIAtC7l","italian hip hop",NA,NA,NA,NA,NA,NA,NA
"Wake Me up When September Ends","Green Day","American Idiot","2004-09-21",82,0.023,0.546,0.814,0,0.0972,-5.146,0.0314,104.98,7,1,285653,0.146,4,"3ZffCQKLFLUvYM59XKLbVm","modern rock","permanent wave","punk","rock",NA,NA,NA,NA
"In Your Eyes","The Weeknd","After Hours","2020-03-20",80,0.00285,0.667,0.719,8.1e-05,0.0736,-5.371,0.0346,100.021,7,0,237520,0.717,4,"7szuecWAPwGoV1e5vGu8tl","canadian contemporary r&b","canadian pop","pop",NA,NA,NA,NA,NA
"Business Class (feat. Rkomi)","Marracash","Marracash - 10 Anni Dopo (Inediti e Rarità)","2018-06-22",47,0.0867,0.62,0.762,0,0.239,-6.633,0.0443,105.054,11,0,187866,0.157,4,"6bArBYlG50C7iN1owUpKeI","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA,NA,NA,NA
"Quello che non ho","Emis Killa","17","2020-09-18",40,0.513,0.494,0.75,0,0.183,-5.743,0.41,78.337,9,1,213072,0.308,4,"3YJN7uSkunGJolNAb9JhiX","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"Midnight City","M83","Hurry up, We're Dreaming","2011-10-17",80,0.0182,0.507,0.729,1.4e-06,0.0658,-5.399,0.0393,105.013,11,0,243960,0.272,4,"6GyFP1nfCDB8lbD2bG0Hq9","french shoegaze","french synthpop","indietronica","metropopolis","neo-synthpop",NA,NA,NA
"USCITO DI GALERA","Lazza","SIRIO","2022-04-07",70,0.188,0.594,0.746,0,0.0991,-5.853,0.137,164.231,7,0,172654,0.0802,4,"01DXwNf1GzEJkYTbXgL0eb","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA,NA,NA
"Origami","Rkomi","Io In Terra","2017-09-08",42,0.419,0.477,0.668,0,0.122,-6.853,0.29,73.798,8,0,214186,0.337,4,"4Y33u6n5hCh2j5BBXXIfIu","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"Nulla Accade","Marracash","Santeria","2016-06-24",65,0.14,0.685,0.729,0,0.1,-6.15,0.0871,92.032,11,1,232412,0.349,4,"6uqeN1m6DXG0yOQ4WMNndB","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA,NA,NA,NA
"L'ultima notte","ARIETE","L'ultima notte","2021-05-03",65,0.268,0.618,0.687,0,0.126,-5.603,0.0446,94.037,2,1,157566,0.398,4,"63mdY4U0KvnbMkUEc7FHN8","italian hip hop","italian pop","rome indie",NA,NA,NA,NA,NA
"Bene","Gemitaiz","Nonostante Tutto","2016-01-22",59,0.0623,0.744,0.659,0,0.114,-7.191,0.142,136.089,6,1,237250,0.746,4,"3Jfi1WRHzREEGBDsaCrIXD","italian hip hop",NA,NA,NA,NA,NA,NA,NA
"Oh Mama","Rkomi","Dasein Sollen","2016-10-13",48,0.307,0.683,0.742,0,0.683,-4.988,0.238,134.104,8,1,198880,0.381,4,"6M7epb5g32b1JmUaQBHTQJ","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"Brivido","Guè","Bravo Ragazzo (Royal Edition)","2013-01-01",69,0.237,0.628,0.69,0,0.0899,-6.273,0.338,82.285,7,0,227693,0.431,4,"7fH13hSOyNoeiDGbjEnTUC","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"PARA' - feat. Tedua","Bresh","CHE IO MI AIUTI","2020-02-14",61,0.18,0.749,0.653,0,0.0812,-8.404,0.107,140.926,1,1,176008,0.682,4,"4dTZAG78TpWGifu1kMefaF","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA,NA
"Giovani Wannabe","Pinguini Tattici Nucleari","Giovani Wannabe","2022-05-27",63,0.0409,0.739,0.81,0,0.122,-5.317,0.0311,127.972,11,0,212966,0.948,4,"7iLuBTHJSXM2HalKHFqEEy","bergamo indie","italian indie pop","italian pop","milan indie",NA,NA,NA,NA
"LONDRA","Rosa Chemical","FOREVER","2020-05-28",47,0.0545,0.683,0.806,0,0.0618,-4.348,0.0521,106.018,7,1,194779,0.522,4,"1zBr4jTyegVrBeGUgZgy7l","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"Paris","The Chainsmokers","Memories...Do Not Open","2017-04-07",77,0.0215,0.653,0.658,1.66e-06,0.0939,-6.428,0.0304,99.99,2,1,221506,0.219,4,"72jbDTw1piOOj770jWNeaG","pop",NA,NA,NA,NA,NA,NA,NA
"Sai Cosa C’è","BLANCO","Blu Celeste","2021-09-09",53,0.217,0.502,0.778,0,0.0756,-4.029,0.113,157.923,3,1,149050,0.687,4,"3NI4VgVswVf503sOiZvv4m","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"Andrea","Bresh","ORO BLU","2022-03-04",61,0.281,0.367,0.596,0,0.125,-8.04,0.118,175.658,11,0,185125,0.325,3,"0DSq4f2grIJOrawmfXkrRy","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA,NA
"Heroes (we could be)","Alesso","Forever","2015-05-26",75,0.0305,0.503,0.748,0,0.343,-4.124,0.0619,125.896,5,1,210013,0.356,4,"3zU9rdflI65tK4dkkNSp77","dance pop","edm","pop","pop dance","progressive electro house",NA,NA,NA
"Bad Liar","Imagine Dragons","Origins (Deluxe)","2018-11-09",83,0.0722,0.383,0.637,0,0.368,-6.993,0.0703,177.913,3,1,260773,0.0827,4,"2RSHsoi04658QL5xgQVov3","modern rock","pop","rock",NA,NA,NA,NA,NA
"Wonderwall","Various Artists","Upside Down: The Story Of Creation OST","2011-05-06",65,0.000676,0.402,0.845,0,0.158,-6.459,0.0319,174.727,2,1,258866,0.686,4,"4yBiZFLXn0n9AUJ5sWO88k",NA,NA,NA,NA,NA,NA,NA,NA
"Preso Male","Gemitaiz","Nonostante Tutto","2016-01-22",50,0.265,0.847,0.642,0,0.317,-8.233,0.0776,118.908,7,1,236602,0.2,4,"4KBxxM3R5C4I2RsGdgZGXg","italian hip hop",NA,NA,NA,NA,NA,NA,NA
"Cyborg (feat. Geolier)","Guè","Mr. Fini","2020-11-26",52,0.132,0.83,0.606,0,0.0877,-5.917,0.283,139.972,7,1,205928,0.74,4,"37gwuBDbTwWUP1Wrs8orre","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"Quarter Past Midnight","Bastille","Quarter Past Midnight","2018-05-09",56,0.275,0.504,0.821,0,0.0418,-3.356,0.0598,155.131,8,1,201799,0.458,4,"1etiUDkISHELzQGMY79ryt","metropopolis","modern rock","pop",NA,NA,NA,NA,NA
"My House","Flo Rida","My House","2015-04-07",78,0.0215,0.688,0.702,0,0.128,-4.792,0.0499,94.006,7,0,192190,0.74,4,"6Knv6wdA0luoMUuuoYi2i1","dance pop","miami hip hop","pop","pop rap",NA,NA,NA,NA
"Angelina Jolie","Bresh","Angelina Jolie","2021-03-12",61,0.073,0.681,0.691,0,0.113,-6.684,0.181,160.338,4,0,169671,0.644,4,"0tD4EXZRm1JGDYWtKYFLWK","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA,NA
"Immortale (feat. Sfera Ebbasta)","Guè","Mr. Fini","2020-11-26",56,0.000592,0.73,0.692,0,0.0539,-5.989,0.06,136.048,9,0,200514,0.238,4,"3UZkuJS1tn3jNYHcxJcNzH","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"Animals","Maroon 5","V","2014-09-02",83,0.000185,0.279,0.742,0,0.593,-6.46,0.0898,189.868,4,0,231013,0.328,4,"2bL2gyO6kBdLkNSkxXNh6x","pop",NA,NA,NA,NA,NA,NA,NA
"Counting Stars","OneRepublic","Native","2013-01-01",89,0.0654,0.664,0.705,0,0.118,-4.972,0.0382,122.016,1,0,257265,0.477,4,"2tpWsVSb9UEmDRxAl1zhX1","piano rock","pop",NA,NA,NA,NA,NA,NA
"Sassi e diamanti","Nitro","Suicidol","2015-05-26",49,0.000571,0.787,0.53,0,0.15,-7.504,0.163,125.151,4,0,211760,0.519,3,"1AmTpgPH4Xb1wKYe5DZZtZ","italian hip hop",NA,NA,NA,NA,NA,NA,NA
"SLATT (feat. Capo Plaza)","Rondodasosa","GIOVANE RONDO","2020-10-16",62,0.0719,0.778,0.488,0,0.0935,-5.361,0.0489,133.052,1,1,217443,0.457,4,"1YvhcTM8aIRTg03AavA2HJ","drill italiana","italian hip hop","trap italiana",NA,NA,NA,NA,NA
"Lonely Together (feat. Rita Ora)","Avicii","AVĪCI (01)","2017-08-10",74,0.134,0.655,0.666,2.12e-05,0.0683,-5.309,0.0612,102.977,5,1,181812,0.272,4,"75NhhYjHO43mvZgYtnXgti","dance pop","edm","pop","pop dance",NA,NA,NA,NA
"Secrets","OneRepublic","Waking Up","2009-01-01",79,0.0717,0.516,0.764,0,0.115,-6.223,0.0366,148.021,2,1,224693,0.376,4,"1NhPKVLsHhFUHIOZ32QnS2","piano rock","pop",NA,NA,NA,NA,NA,NA
"Milano Bachata","Rkomi","Io In Terra","2017-09-08",57,0.163,0.731,0.755,0,0.453,-5.495,0.144,94.079,7,0,167346,0.328,4,"4npeg094qxxH7Fp2aoi04O","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"Vertigini","Tedua","Mowgli","2018-03-02",65,0.164,0.579,0.774,0,0.131,-6.34,0.164,133.722,5,0,203040,0.476,4,"1Oou7m2VuxCDSOdqsu07TU","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA,NA
"Mai brillo – feat. Disme, Vaz Tè","Bresh","Che io ci aiuti","2020-07-24",54,0.199,0.634,0.721,0,0.103,-6.214,0.105,81.262,1,1,174394,0.81,4,"7uvYHwfvmsCCT0009ZNTZ0","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA,NA
"Jerusalema (feat. Nomcebo Zikode)","Master KG","Jerusalema","2020-01-24",74,0.0185,0.88,0.483,8.68e-06,0.0607,-7.012,0.0505,124.009,1,1,342612,0.827,4,"2MlOUXmcofMackX3bxfSwi","bolobedu house","south african house",NA,NA,NA,NA,NA,NA
"Hangover","Gemitaiz","Nonostante Tutto (Inediti, Rarità, Live E Remix)","2016-11-04",52,0.121,0.712,0.637,4.93e-05,0.113,-8.399,0.119,115.981,1,1,250978,0.398,4,"1PqFDUw5Wgm4IhKkKRH3I0","italian hip hop",NA,NA,NA,NA,NA,NA,NA
"Stargazing","Kygo","Stargazing - EP","2017-09-21",68,0.152,0.677,0.497,0,0.0911,-5.763,0.0809,99.137,5,1,236853,0.419,4,"0Zbbxnx4SGGHoIow4PpISP","edm","pop","pop dance","tropical house",NA,NA,NA,NA
"Sun Is Shining","Axwell /\ Ingrosso","More Than You Know","2017-07-28",70,0.0866,0.467,0.757,0,0.0742,-3.01,0.0517,131.993,2,1,254653,0.383,4,"4b2tcjrG1qUkSdsqEFP2dB","edm","pop dance",NA,NA,NA,NA,NA,NA
"It's Time","Imagine Dragons","Night Visions","2012-09-04",76,0.0162,0.656,0.884,0,0.144,-4.748,0.0372,105.009,2,1,240306,0.86,4,"7MXlTgQeo3IVlMpLnZuhxc","modern rock","pop","rock",NA,NA,NA,NA,NA
"Play Hard (feat. Ne-Yo & Akon) - New Edit","David Guetta","Play Hard (feat. Ne-Yo & Akon) [New Edit]","2013-03-15",66,0.035,0.723,0.87,0,0.656,-3.013,0.0435,129.952,8,0,208845,0.678,4,"16Cs9KsHzgunxaEfGrXysG","big room","dance pop","edm","pop","pop dance",NA,NA,NA
"Medaglia","Emis Killa","17","2020-09-18",43,0.4,0.6,0.813,0,0.35,-4.001,0.173,170.039,11,1,197986,0.514,4,"7AnQncZKcaqSq7peG0pvaQ","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"It Ain't Me (with Selena Gomez)","Kygo","It Ain't Me (with Selena Gomez)","2017-02-16",81,0.119,0.64,0.533,0,0.0864,-6.596,0.0706,99.968,0,1,220780,0.515,4,"3eR23VReFzcdmS7TYCrhCe","edm","pop","pop dance","tropical house",NA,NA,NA,NA
"High Hopes","Panic! At The Disco","Pray for the Wicked","2018-06-22",83,0.193,0.579,0.904,0,0.064,-2.729,0.0618,82.014,5,1,190946,0.681,4,"1rqqCSm0Qe4I9rUvWncaom","modern rock","pop",NA,NA,NA,NA,NA,NA
"Higher Power","Coldplay","Higher Power","2021-05-07",73,0.00711,0.507,0.828,2.44e-05,0.261,-6.023,0.0449,178.032,10,1,211294,0.489,4,"0939D7aT18uBDS2MTjWzct","permanent wave","pop",NA,NA,NA,NA,NA,NA
"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","Hollywood's Bleeding","2019-09-06",86,0.533,0.755,0.522,0,0.0685,-4.368,0.0575,89.96,2,1,157560,0.925,4,"0RiRZpuVRbi7oqRdSMwhQY","dfw rap","melodic rap","pop","rap",NA,NA,NA,NA
"Ritual","Tiësto","The London Sessions","2020-05-15",65,0.157,0.647,0.726,0,0.0844,-4.389,0.0552,114.998,3,0,198995,0.769,4,"0FEk8LwY8h4rAR63ggfhV0","big room","brostep","dutch edm","edm","house","pop dance","slap house","trance"
"DEBITI","Massimo Pericolo","SOLO TUTTO","2021-03-26",45,0.0156,0.541,0.789,1.78e-05,0.124,-5.821,0.0422,108.204,10,0,144370,0.419,4,"1MEznYdUSMGriy96I3XAp1","italian hip hop","trap metal italiana",NA,NA,NA,NA,NA,NA
"Morto Mai","Lazza","Re Mida","2019-03-01",66,0.121,0.645,0.813,0,0.127,-5.448,0.107,82.676,7,0,145640,0.551,4,"2Ri0436JKFUsd3B3xa2jCe","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA,NA,NA
"Broken Language","Emis Killa","17","2020-09-18",50,0.333,0.72,0.927,0,0.121,-3.197,0.309,89.993,4,0,108973,0.668,4,"6SUnPCMXpUvJ7ZiSFRg8rs","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
