"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5"
"Big Girls Don't Cry (Personal)","Fergie","The Dutchess","2006-09-13",74,0.205,0.708,0.641,0,0.0925,-4.271,0.0335,113.082,7,1,268120,0.253,4,"6dgWWAs5yhWPOtvE1zuoQ1","dance pop","pop",NA,NA,NA
"Mamma Maria","Ricchi E Poveri","The Collection","1998",59,0.522,0.738,0.841,0,0.107,-5.767,0.0327,134.598,7,1,175666,0.789,4,"7tVEeTbzEJkHP0EqUu6rmf","classic italian pop",NA,NA,NA,NA
"Brividi","Mahmood","Brividi","2022-02-02",65,0.448,0.523,0.614,0,0.254,-4.435,0.0347,122.962,7,1,199146,0.342,4,"1ZMGp9MTXbtAPvcKa0U3zS","italian adult pop","italian pop",NA,NA,NA
"U Said","Lil Peep","Come Over When You're Sober, Pt. 1","2017-08-15",68,0.0434,0.265,0.827,0,0.117,-4.661,0.104,82.021,7,1,224053,0.131,4,"5365BgI6Fr6agnKQZqPPX1","cloud rap","emo rap","lgbtq+ hip hop",NA,NA
"Malamorenò","Arisa","Malamorenò","2010-02-19",31,0.66,0.795,0.729,0.000118,0.0825,-3.451,0.0326,108.007,3,1,181016,0.967,4,"53ehR92whzj2enxnuWsOIw","italian adult pop",NA,NA,NA,NA
"MUJER","Icy Subzero","MUJER","2022-07-22",68,0.32,0.651,0.819,0,0.345,-4.695,0.175,92.003,4,0,161739,0.513,4,"6K8MYTkn5mZzF6p14hV5cj","italian hip hop",NA,NA,NA,NA
"La prima volta che ti ho incontrato","Riva","La prima volta che ti ho incontrato","2021-10-22",11,0.378,0.602,0.563,1.35e-05,0.103,-8.474,0.0336,133.978,1,1,231520,0.439,4,"0aVdKluEyHzSQRw2oaJu9n","firenze indie",NA,NA,NA,NA
"Vestiti D’Odio (con PSICOLOGI)","Tredici Pietro","Vestiti D’Odio (con PSICOLOGI)","2020-01-09",57,0.299,0.708,0.678,0,0.14,-7.492,0.129,128.037,9,1,171093,0.211,4,"3NLE4ioQE8aWxoJjk2IQTC","italian hip hop",NA,NA,NA,NA
"Silenzio","Gemitaiz","Eclissi","2022-05-12",58,0.163,0.904,0.532,0,0.109,-6.639,0.257,130.015,6,0,177672,0.422,4,"5Eay94uxOnd2XrnybXoDfm","italian hip hop",NA,NA,NA,NA
"Sugar, Sugar","The Archies","The Very Best Of ""The Archies""","2007-11-07",67,0.466,0.736,0.871,0,0.108,-2.786,0.0278,122.395,2,1,167186,0.967,4,"3iSws76HjaU7k49EqJVTfF","bubblegum pop","classic canadian rock","rock-and-roll",NA,NA
"Sometimes","Britney Spears","...Baby One More Time (Digital Deluxe Version)","1999-01-12",73,0.42,0.745,0.742,0,0.102,-5.693,0.0259,95.996,10,1,245066,0.806,4,"1UI0l2L66HJ9AtoEOlHzv4","dance pop","pop",NA,NA,NA
"Nuestra Canción","Monsieur Periné","Caja de Música","2015-06-16",70,0.426,0.906,0.731,4.55e-06,0.0853,-7.021,0.0977,106.995,6,0,260079,0.794,4,"5reQI13tWWYDLMrGcUF4Mk","colombian pop","gypsy jazz","latin alternative",NA,NA
"I.F.L.Y.","Bazzi","Soul Searching","2019-08-09",74,0.379,0.812,0.519,0,0.13,-4.823,0.0385,104.954,2,1,165714,0.554,4,"4a6q8CR2hzLk2plDkSxkfD","pop",NA,NA,NA,NA
"ANNA MERAVIGLIA","MOBRICI","ANCHE LE SCIMMIE CADONO DAGLI ALBERI","2021-11-19",39,0.246,0.63,0.741,0,0.0783,-4.464,0.0293,108.022,2,1,165786,0.461,4,"6j06mxr8BcHnUBAT1AZCbm","italian indie pop",NA,NA,NA,NA
"Mohicani (feat. Baby K)","Boomdabash","Mohicani (feat. Baby K)","2021-06-10",56,0.0286,0.84,0.648,0,0.098,-6.051,0.157,99.981,11,1,171674,0.628,4,"5Wml9i3afqwcm8UNDD1GXw","italian adult pop","italian pop","italian reggae",NA,NA
"Dove Si Balla","Dargen D'Amico","Dove Si Balla","2022-02-02",61,0.176,0.592,0.603,0,0.123,-5.403,0.0933,145.94,0,1,198082,0.437,4,"3FVa0R2evbgjVOd3bejudr","italian adult pop","italian hip hop","italian pop","milan indie","r&b italiano"
"La Notte","Neffa","Alla Fine Della Notte","2007-06-01",29,0.502,0.773,0.642,5.53e-06,0.148,-7.172,0.0977,127.986,6,1,214293,0.464,4,"4ZxDVUoF1KoHvVnKrWOPKz","italian adult pop","italian pop","italian underground hip hop","rap napoletano",NA
"La Fata","Edoardo Bennato","Burattino Senza Fili","1977-07-16",38,0.439,0.407,0.525,0,0.263,-7.709,0.0243,97.381,5,1,245720,0.357,4,"0lX9x9xS93jqXPr7eY0508","canzone d'autore","classic italian pop","italian adult pop",NA,NA
"PANICO (feat. Takagi & Ketra)","Lazza","SIRIO","2022-04-07",71,0.0615,0.788,0.731,0,0.0997,-6.082,0.047,127.03,4,0,188564,0.258,4,"0SsUOrXUM2gZxVLYizZfQZ","italian hip hop","italian pop","rap genovese","trap italiana",NA
"Build a Bitch","Bella Poarch","Build a Bitch","2021-05-14",74,0.217,0.855,0.463,1.77e-05,0.347,-7.454,0.0367,102.931,3,1,122772,0.866,4,"7BoobGhD4x5K96Me0hqC8Q","modern alternative pop",NA,NA,NA,NA
"Baciami (Hasta Luego)","Briga","Talento (Deluxe Edition)","2016-10-07",43,0.0183,0.757,0.74,0,0.245,-6.403,0.223,97.979,2,1,206893,0.425,4,"0NFrSPDnL9d1yQbuXbODxt","italian adult pop","italian pop",NA,NA,NA
"Title","Meghan Trainor","Title (Deluxe)","2015-01-09",69,0.343,0.779,0.754,2.6e-06,0.0965,-4.358,0.0966,89.998,5,1,174733,0.883,4,"0k5hoseEJnCAbpRh38dNoI","hip pop","pop",NA,NA,NA
"Chimica","Ditonellapiaga","Chimica","2022-02-03",43,0.0344,0.671,0.736,0,0.0885,-6.436,0.288,160.038,5,0,181312,0.673,4,"5u4WqrYhQA5BUvqN5syYil","italian indie pop",NA,NA,NA,NA
"Mi Regalo Mas Bonito","La Ross Maria","Mi Regalo Mas Bonito","2020-09-22",60,0.711,0.669,0.524,0,0.223,-7.925,0.345,91.36,8,0,151467,0.672,4,"3JgGutjAwNXGAxcXaqVgWe","dominican pop",NA,NA,NA,NA
"Al Tuo Matrimonio","Cesare Cremonini","Possibili Scenari","2017-11-24",28,0.00233,0.479,0.801,0,0.11,-4.749,0.034,131.91,8,1,265893,0.506,4,"5QNFdjlkHHdOyhutGef68K","italian adult pop","italian pop",NA,NA,NA
"SOGNI LUCIDI ⊰⊱ (con CARL BRAVE & ROSA CHEMICAL)","MACE","OBE","2021-02-04",44,0.0313,0.727,0.705,1.09e-05,0.155,-6.235,0.047,109.027,2,0,186978,0.672,4,"6D5UZLg2BliigeAmTgpESj","funk carioca","italian hip hop","italian pop",NA,NA
"Telecinesi","Graman","Anedonia","2020-11-27",0,0.486,0.685,0.519,6.47e-06,0.111,-7.082,0.0426,140.028,1,1,161196,0.338,4,"4Jr8Vy8RCZ3vmErLKlTOYX",NA,NA,NA,NA,NA
"Chiama me","Various Artists","Undamento 01","2016-06-28",41,0.275,0.636,0.928,0,0.115,-1.953,0.0687,90.036,7,1,229710,0.559,4,"5E6zgNwpKQt25hBFowUIc0",NA,NA,NA,NA,NA
"Anche per te","Lucio Battisti","La canzone del sole/ Anche per te","1971",50,0.728,0.507,0.21,0,0.0802,-15.17,0.0359,106.353,7,1,272893,0.309,4,"1RwXhajm12T8NGgqEBSRcc","canzone d'autore","classic italian pop","italian adult pop",NA,NA
"E' con te","Francesca Michielin","di20are","2016-02-19",27,0.128,0.564,0.736,0,0.133,-4.046,0.0542,130.253,0,1,219933,0.308,4,"7D6pq8wIjBDrvxU31crtJW","italian adult pop","italian pop",NA,NA,NA
"Girasole","Giorgia","Girasole","1999-04-14",51,0.0528,0.583,0.821,0.000244,0.271,-7.041,0.0478,164.375,2,1,232360,0.625,4,"5i4GFwCXmPLPeUo9tKvC5R","classic italian pop","italian adult pop",NA,NA,NA
"Giovani Wannabe","Pinguini Tattici Nucleari","Giovani Wannabe","2022-05-27",63,0.0409,0.739,0.81,0,0.122,-5.317,0.0311,127.972,11,0,212966,0.948,4,"7iLuBTHJSXM2HalKHFqEEy","bergamo indie","italian indie pop","italian pop","milan indie",NA
"L’Eccezione - from the Amazon Original Series BANG BANG BABY","Madame","L’Eccezione (from the Amazon Original Series BANG BANG BABY)","2022-04-14",55,0.0987,0.791,0.631,0,0.222,-6.039,0.086,113.998,11,0,229146,0.865,4,"2MyEwJpLReYHq7b8P2ABtk","italian adult pop","italian hip hop","italian pop","trap italiana",NA
"Todo De Ti","Rauw Alejandro","Todo De Ti","2021-05-20",79,0.31,0.78,0.718,0.000163,0.0932,-3.605,0.0506,127.949,3,0,199604,0.342,4,"4fSIb4hdOQ151TILNsSEaF","puerto rican pop","reggaeton","trap latino","urbano latino",NA
"Tutte le altre","BREDO","Tutte le altre","2021-07-11",1,0.338,0.769,0.554,0,0.123,-8.72,0.0477,117.988,10,1,231658,0.754,4,"7z58m1WsP0wxnbqjWBASgC",NA,NA,NA,NA,NA
"La fine della guerra","Tupamaros","La fine della guerra","2021-07-30",0,0.74,0.453,0.345,0.0647,0.286,-9.386,0.0292,184.171,9,1,216997,0.332,4,"34wGqmG6TqSQVXnPbU2CPZ","folk rock italiano",NA,NA,NA,NA
"Alghero","Giuni Russo","Voce Che Grida (Priate Edition)","2009-08-17",48,0.122,0.731,0.688,1.8e-05,0.143,-6.267,0.0319,132.067,7,1,252630,0.849,4,"6AwhIO5zZQzBCq6C8uVodW","classic italian pop",NA,NA,NA,NA
"Sei stata la canzone più bella del mondo","Incubo","Testa e cuore","2022-05-13",37,0.857,0.524,0.471,5.33e-05,0.096,-5.88,0.063,76.436,7,1,184087,0.36,4,"68bygfznYrXh6QbTuKsoyj",NA,NA,NA,NA,NA
"Il mio pensiero","Inna Cantina","Inna cantina '12","2021-04-02",6,0.174,0.739,0.315,0,0.183,-17.748,0.222,98.023,9,1,258946,0.869,4,"3oGNdGam5gYCQIyhKjgMSk","italian reggae",NA,NA,NA,NA
"Camera 209","Alessandra Amoroso","Tutto accade","2021-10-22",49,0.00957,0.831,0.771,0,0.0867,-4.776,0.0333,125.992,0,1,178541,0.629,4,"3gzGelvS4qpKiJ6oWqmQjL","italian adult pop","italian pop",NA,NA,NA
"Non sapere mai dove si va","Ultimo","Solo","2021-10-22",45,0.696,0.549,0.409,0,0.0961,-9.533,0.283,79.992,7,1,182600,0.492,4,"02kMCCU0XtQf0Ds7OIAoFP","italian adult pop","italian pop",NA,NA,NA
"Good Times","Ghali","DNA","2020-11-13",62,0.0315,0.719,0.736,0,0.0988,-6.32,0.0776,109.028,4,0,163073,0.593,4,"3vgclHni3T3qu7ZXz8idsk","italian hip hop","italian pop","milan indie",NA,NA
"As It Was","Harry Styles","Harry's House","2022-05-20",95,0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,173.93,6,0,167303,0.662,4,"4Dvkj6JhhA12EX05fT7y2e","pop",NA,NA,NA,NA
"Last Night (Beer Fear)","Lucy Spraggan","Join the Club","2013-10-07",60,0.198,0.456,0.786,0,0.13,-3.877,0.237,92.287,1,1,133213,0.918,4,"0tn15AIyBUAi9WLzzhKQsk","talent show",NA,NA,NA,NA
"Everyday","Mr. Brown","English Breakfast","2014-12-02",29,0.473,0.669,0.836,0,0.331,-8.657,0.406,91.114,11,0,169800,0.924,4,"3jGLq4PNe09eDiDrWGp8Bk",NA,NA,NA,NA,NA
"PARE (feat. Madame)","Ghali","Sensazione ultra","2022-05-20",59,0.095,0.795,0.555,0,0.124,-7.91,0.314,125.084,9,0,165960,0.493,4,"1WQxLQxEDMDwuaAmRXDHIw","italian hip hop","italian pop","milan indie",NA,NA
"Più Lei Che Noi (feat. Rkomi)","Emis Killa","17 - Dark Edition","2021-02-26",47,0.00691,0.475,0.795,0,0.145,-5.044,0.282,80.736,11,0,183703,0.34,4,"6BWss9k0eYlgBmU2UUVZt4","italian hip hop","italian pop",NA,NA,NA
"Come, come","Sissi","Leggera","2022-05-27",41,0.133,0.844,0.756,2.19e-06,0.106,-2.687,0.0692,110.056,1,0,151090,0.777,4,"4Kw2WHHSFvNeTgbpQtITe7","italian pop",NA,NA,NA,NA
"Why Are Sundays So Depressing","The Strokes","The New Abnormal","2020-04-10",68,0.00258,0.579,0.714,0.0269,0.111,-4.455,0.0347,109.971,0,1,275666,0.299,4,"1aOxOpH4AkGAd8OMrKjyNY","alternative rock","garage rock","modern rock","permanent wave","rock"
"Amore di mezzo","JUNIOR CALLY","Amore di mezzo","2021-02-05",42,0.791,0.579,0.634,0,0.111,-6.485,0.182,160.026,5,1,168669,0.913,3,"60fvKEu7b8yK7Cwbmn4BLK","italian hip hop","italian pop",NA,NA,NA
"New Soul","Yael Naim","Yael Naim","2007-10-22",64,0.748,0.582,0.371,9.19e-05,0.122,-8.519,0.0525,200.085,0,1,225105,0.604,4,"09nEPqqMCJ5gNioi7M2dth","folk-pop",NA,NA,NA,NA
"Quando Sono Con Te","Ex-Otago","Marassi","2016-10-21",49,0.0423,0.621,0.751,3.78e-06,0.316,-4.81,0.027,113.009,6,0,239373,0.685,4,"3tHUvprpEXpEHWLZJ8ZI80","indie liguria","italian alternative","italian indie pop","italian pop","rap napoletano"
"Super Cafoni","Ludwig","Super Cafoni","2022-04-21",41,0.0596,0.734,0.94,0,0.111,-3.192,0.0913,114.955,0,1,133630,0.775,4,"3FEQ4ao5ts3YLagP9XzHRK","italian pop","pop virale italiano",NA,NA,NA
"Hacerte Mía","La Ross Maria","Hacerte Mía","2021-10-28",44,0.424,0.636,0.686,0,0.0939,-5.989,0.385,184.434,9,1,197038,0.536,4,"0KH6xgusamy2Rrxuz3fGcG","dominican pop",NA,NA,NA,NA
"nuts","Lil Peep","LIVE FOREVER","2022-12-02",83,0.00872,0.51,0.739,0,0.111,-7.41,0.0415,62.007,2,1,85360,0.148,4,"4k3xDpAdBuM17mNNHhOZkK","cloud rap","emo rap","lgbtq+ hip hop",NA,NA
"W.W.","Jekesa","Jake Blues","2015-05-23",27,0.356,0.759,0.67,6.08e-06,0.11,-6.054,0.144,91.496,2,1,191350,0.814,4,"0bEx6eiZpqUbc5ts6SoY6U",NA,NA,NA,NA,NA
"LA DOLCE VITA","Fedez","LA DOLCE VITA","2022-06-03",62,0.0124,0.737,0.858,0,0.382,-3.589,0.0527,144.991,8,1,187862,0.919,4,"0I0b7uTFfHhBz5bMkSDouF","italian adult pop","italian pop",NA,NA,NA
"USCITO DI GALERA","Lazza","SIRIO","2022-04-07",70,0.188,0.594,0.746,0,0.0991,-5.853,0.137,164.231,7,0,172654,0.0802,4,"01DXwNf1GzEJkYTbXgL0eb","italian hip hop","italian pop","rap genovese","trap italiana",NA
"Until I Found You","Stephen Sanchez","Until I Found You","2021-09-01",83,0.727,0.539,0.508,0,0.174,-6.05,0.0288,101.358,10,1,177720,0.227,3,"0T5iIrXA4p5GsubkhuBIKV","gen z singer-songwriter",NA,NA,NA,NA
"I Love You So","The Walters","I Love You So","2014-11-28",89,0.583,0.575,0.648,0,0.115,-4.891,0.0358,75.977,10,1,160239,0.466,4,"4SqWKzw0CbA05TGszDgMlc","chicago indie","pov: indie",NA,NA,NA
"Quanto ti vorrei","chiello","Quanto ti vorrei","2021-09-23",51,0.00721,0.476,0.711,1.81e-06,0.0842,-5.769,0.0336,185.996,2,1,180342,0.756,4,"1AC9rHDPQC3QoC3iYPeSEI","italian hip hop",NA,NA,NA,NA
"Catene","Coez","È sempre bello","2019-03-29",50,0.221,0.565,0.671,0,0.1,-5.844,0.234,171.85,8,1,175826,0.487,4,"3oyfNrrR0GHepmHjXyNhBV","italian adult pop","italian pop","rap napoletano","rome indie",NA
"Ho Capito Che Non Eravamo","Canova","Vivi Per Sempre","2019-03-01",37,0.0521,0.497,0.908,0,0.15,-3.326,0.0345,101.004,9,1,176013,0.524,4,"5DAetDZPAMD3mkVlRnhrzf","italian alternative","italian indie pop","milan indie",NA,NA
"die first","Nessa Barrett","die first","2022-06-24",68,0.0669,0.444,0.669,0,0.124,-6.727,0.125,183.441,8,0,177108,0.44,4,"21szgNA72iLwvBxHQLgwBh","social media pop",NA,NA,NA,NA
"Niente di più stupido di sognare","lowlow","Redenzione","2017-01-13",41,0.103,0.667,0.659,0,0.12,-7.101,0.266,85.169,7,1,205640,0.206,4,"1yrneYDGaNVAZ3Ed7GrkYt","italian hip hop","italian pop","rome indie",NA,NA
"La Mia Signorina","Neffa","Arrivi E Partenze","2001-01-01",56,0.104,0.812,0.411,0,0.0743,-5.315,0.0383,114.063,9,1,202613,0.701,4,"0kM3bPNUPgxaeOf7VzRQer","italian adult pop","italian pop","italian underground hip hop","rap napoletano",NA
"Scooby Doo","Pinguini Tattici Nucleari","AHIA!","2020-12-04",66,0.0477,0.74,0.743,0,0.0925,-4.166,0.137,135.071,6,1,179124,0.773,4,"1P6TlFb8EVH2nCX3luVpZW","bergamo indie","italian indie pop","italian pop","milan indie",NA
"I love you baby","Jovanotti","I love you baby","2022-03-21",58,0.121,0.66,0.773,0,0.256,-5.659,0.0376,139.957,6,0,212985,0.805,4,"1AbtrHeUDmWsYUsRApmICf","italian adult pop","italian pop",NA,NA,NA
"Fuori di me","Greta Menchi","Fuori di me","2019-05-03",29,0.034,0.595,0.632,0,0.132,-5.029,0.168,67.186,0,1,190222,0.166,4,"2fWfA26kIFDUZXNv6ZWq9X","italian adult pop",NA,NA,NA,NA
"Una Cosa Sola (feat. Shablo)","Irama","Il giorno in cui ho smesso di pensare","2022-02-25",46,0.0635,0.795,0.812,0,0.114,-4.329,0.0505,104.989,0,1,178285,0.605,4,"0OkvsNAnCij983B5DDYXxO","italian adult pop","italian pop",NA,NA,NA
"Dieci","Annalisa","Dieci","2021-03-03",49,0.573,0.636,0.65,0,0.101,-4.045,0.24,61.837,1,1,198870,0.303,4,"2lBLzzEARN8mGgHFaXYKKk","italian adult pop","italian pop",NA,NA,NA
"Ti penso sempre","Brusco","Si fa presto a dire... Brusco","2003-09-01",42,0.203,0.664,0.766,0,0.219,-4.646,0.284,173.883,4,1,235720,0.919,4,"5jJsg3Ujnx3vDtXoDuN4oK","italian reggae",NA,NA,NA,NA
"Sole a mezzanotte","Gio Montana","Sole a mezzanotte","2019-02-14",54,0.146,0.785,0.581,0,0.255,-6.993,0.0857,123.958,1,1,134295,0.34,4,"6lUQmrxYuok4p31jT0NMd7","italian pop","pop virale italiano","trap italiana",NA,NA
"farfalle","sangiovanni","farfalle","2022-02-03",59,0.0927,0.733,0.784,0,0.195,-5.211,0.0606,120.016,3,1,164000,0.377,4,"5HujDMiRNqZwEzVAh3oFD3","italian adult pop","italian pop",NA,NA,NA
"Giulia","Scarda","Tormentone","2018-10-19",25,0.651,0.542,0.529,0,0.147,-6.158,0.0358,75.014,4,0,210380,0.374,4,"1G3DjWcd4CwmVKg9Y35iss","italian alternative","italian indie pop",NA,NA,NA
"Caramba","Baby Gang","Caramba","2020-08-06",59,0.0381,0.825,0.691,1.13e-06,0.0862,-6.121,0.2,94.99,1,1,183174,0.536,4,"0JxlMKdfoQKuB09keMmALe","trap italiana",NA,NA,NA,NA
"Ricordi","Pinguini Tattici Nucleari","Ricordi","2022-09-23",61,0.101,0.678,0.656,0,0.227,-5.97,0.0349,135.012,9,1,202560,0.597,4,"6Tj82tvIsDmfMTskuomuEq","bergamo indie","italian indie pop","italian pop","milan indie",NA
"L'Estate Di John Wayne","Raphael Gualazzi","Love Life Peace","2016-09-23",42,0.0211,0.677,0.778,0,0.158,-5.969,0.0374,114.016,2,0,209493,0.63,4,"4fBsCHQoS5H3eKAxUAyB1y",NA,NA,NA,NA,NA
"Take on Me","a-ha","Hunting High and Low","1985-06-01",89,0.018,0.573,0.902,0.00125,0.0928,-7.638,0.054,84.412,6,0,225280,0.876,4,"2WfaOiMkCvy7F5fcp2zZ8L","new romantic","new wave","new wave pop","permanent wave","synthpop"
"Rockstar 99","Ski & Wok","Rockstar 99","2021-04-16",26,0.0377,0.517,0.659,1.62e-06,0.127,-6.929,0.0411,69.848,9,1,162000,0.127,4,"0k0V3m9LYirJAq19fzbE8N","drill italiana","trap italiana",NA,NA,NA
"Pellaria","Carl Brave x Franco126","Polaroid 2.0","2018-02-16",50,0.0393,0.676,0.54,0,0.111,-5.506,0.055,159.866,7,1,183000,0.075,4,"6eJGIi0c2MNU3DR2QZ9nbM","italian hip hop","italian pop","rome indie",NA,NA
"Occhi rossi","Coez","Volare","2022-05-18",64,0.0746,0.545,0.477,0,0.0977,-6.021,0.0427,123.465,11,1,177310,0.353,4,"5bvsNn7f4m0MTCuUQkMZGY","italian adult pop","italian pop","rap napoletano","rome indie",NA
"Playa","Baby K","Playa","2019-05-31",48,0.0403,0.837,0.577,0,0.0721,-5.854,0.168,109.904,2,1,192000,0.73,4,"7bBIBrSmHvdMlTC7b9p8Vq","italian adult pop","italian pop",NA,NA,NA
"Oh! You Pretty Things - 2015 Remaster","David Bowie","Hunky Dory (2015 Remaster)","1971-12-17",60,0.797,0.557,0.277,0,0.0984,-9.92,0.035,76.328,6,1,193986,0.248,4,"7Js4OF5MUb2bqJe09g4uQE","art rock","classic rock","glam rock","permanent wave","rock"
"Palazzina Gialla","Scarda","Tormentone","2018-10-19",35,0.382,0.593,0.934,0,0.0888,-5.637,0.0691,94.993,11,1,195223,0.539,4,"7CLh0J5YJA5SjgF6fQqngh","italian alternative","italian indie pop",NA,NA,NA
"Sbatti","Gazzelle","Punk","2018-11-30",55,0.0569,0.59,0.72,0,0.242,-3.418,0.031,75.983,3,1,197293,0.588,4,"35B5JfaaAYdlOdiZ0NE6QX","italian adult pop","italian pop","rome indie",NA,NA
"Gli occhi","Frah Quintale","Lungolinea.","2018-06-29",36,0.382,0.661,0.544,0,0.164,-7.528,0.0782,99.783,4,1,142350,0.768,4,"6NgwovGzYYpzOhLJ964T1g","italian hip hop","italian indie pop","italian pop","milan indie",NA
"Ragazzo Fortunato - Remastered 2012","Jovanotti","Backup 1987-2012","2012-01-01",48,0.176,0.702,0.944,0,0.0514,-3.182,0.0601,106.01,9,1,288933,0.908,4,"644lhL7TIHhNqwLvgdzTOA","italian adult pop","italian pop",NA,NA,NA
"Ferma A Guardare (feat. Pinguini Tattici Nucleari)","Ernia","Gemelli","2021-01-19",68,0.445,0.585,0.724,0,0.1,-5.611,0.0967,162.05,9,0,213542,0.547,4,"1eDC4NiUYgQSKpKDIvXxi4","italian hip hop","italian pop","milan indie",NA,NA
"TU (feat. ARIETE)","Novelo","CARO MOSTRO","2021-12-03",41,0.43,0.74,0.672,0,0.133,-8.165,0.122,85.002,4,1,161697,0.668,4,"7mUuY2jpW3TItLGYwkYIpI",NA,NA,NA,NA,NA
"La tua canzone","Coez","È sempre bello","2019-03-29",68,0.0907,0.491,0.776,0,0.111,-5.119,0.0596,179.927,1,1,192040,0.626,4,"4Z43nMEiOiNeDrqu2BN0JD","italian adult pop","italian pop","rap napoletano","rome indie",NA
