"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"La collina dei ciliegi - Remastered","Lucio Battisti","Il nostro caro angelo","1973",295506,57,0.587,0.624,0.279,0,0.131,-13.714,0.0549,108.234,0,1,295506,0.194,4,"1barmMRNFXuBEWNyWvbUwI","canzone d'autore","classic italian pop","italian adult pop",NA,NA,NA,NA,NA,NA
"Aglio e olio","Fulminacci","Tante care cose e altri successi","2022-03-11",225826,59,0.535,0.735,0.529,0,0.19,-7.982,0.05,93.028,11,1,225826,0.537,4,"3AvqtcseWAUMjxuHeUAfsn","italian indie pop","italian pop","rome indie",NA,NA,NA,NA,NA,NA
"Apple Pie","Lizzy McAlpine","Give Me A Minute","2020-08-13",259165,65,0.855,0.518,0.208,5.15e-06,0.12,-12.273,0.0363,179.836,10,1,259165,0.42,4,"0zLnAV1lYEhVnKk3ITmCym","alt z","boston folk","indie pop","singer-songwriter pop",NA,NA,NA,NA,NA
"Song In My Head","Madison Cunningham","Who Are You Now","2019-08-16",280293,50,0.0915,0.515,0.582,7.09e-05,0.113,-6.226,0.0414,119.089,8,1,280293,0.641,4,"0SqfoSpuWsk4CJpCX2LvCD","pop folk",NA,NA,NA,NA,NA,NA,NA,NA
"Champagne","Lin-Manuel Miranda","In the Heights (Original Broadway Cast Recording)","2008-06-03",164026,40,0.509,0.704,0.378,0,0.0735,-10.124,0.39,93.707,2,1,164026,0.188,4,"4h3uzwjfWKfs6uwwRsXQNK","broadway","show tunes",NA,NA,NA,NA,NA,NA,NA
"September Fields","Frazey Ford","Indian Ocean","2014-10-14",207786,66,0.283,0.677,0.526,0.0279,0.115,-10.289,0.0261,114.015,0,1,207786,0.702,4,"7kuOhBGsXjpwvLRQCDAPAJ","canadian singer-songwriter",NA,NA,NA,NA,NA,NA,NA,NA
"To the Mountains","Lizzy McAlpine","Give Me A Minute","2020-08-13",193800,67,0.918,0.461,0.147,0.000638,0.0846,-14.022,0.033,78.809,4,1,193800,0.267,1,"4jLxibvYRtzEAiTDvbL9fO","alt z","boston folk","indie pop","singer-songwriter pop",NA,NA,NA,NA,NA
"Let's Fall in Love for the Night","FINNEAS","Blood Harmony","2019-10-04",190348,74,0.802,0.737,0.408,0,0.171,-7.941,0.104,127.918,5,1,190348,0.374,4,"6I0KEvFfWszVJiCy5hum4V","alt z","la indie","pop","pov: indie",NA,NA,NA,NA,NA
"Love Is Blue","Gábor Szabó","Bacchanal","1968",258906,31,0.259,0.48,0.436,0.0979,0.0934,-10.383,0.0449,109.009,9,1,258906,0.337,4,"7CcpBaXCsJsaBeexoiRU1D","spiritual jazz",NA,NA,NA,NA,NA,NA,NA,NA
"She Brings the Rain","CAN","Soundtracks (Remastered)","1970-01-01",244533,44,0.533,0.514,0.111,0.00088,0.128,-14.192,0.039,105.572,5,1,244533,0.0533,4,"4bYqOnDzT5OpmfA9apUxyj","experimental","experimental rock","krautrock","neo-psychedelic","no wave","post-punk","space rock",NA,NA
"Sascha","Jolie Holland","Escondida","2004-04-27",188893,36,0.918,0.498,0.163,0,0.179,-11.731,0.0394,103.965,4,1,188893,0.372,4,"1E3CX8oFjpHceDtSp5Fhq5","stomp and holler",NA,NA,NA,NA,NA,NA,NA,NA
"Gli occhi","Frah Quintale","Regardez moi","2017-11-24",142350,70,0.382,0.661,0.544,0,0.164,-7.528,0.0782,99.783,4,1,142350,0.768,4,"7L7QYf7S6wg6pseN2C0d6K","italian hip hop","italian indie pop","italian pop","milan indie",NA,NA,NA,NA,NA
"Nosotros","Rachael & Vilray","Rachael & Vilray","2019-10-04",194414,38,0.953,0.558,0.145,0.000367,0.113,-9.352,0.0299,95.871,4,1,194414,0.331,4,"2dApEfKC6uj6QD8InJOveC","jazz pop",NA,NA,NA,NA,NA,NA,NA,NA
"Lady Rain","Rogér Fakhr","Fine Anyway (Habibi Funk 016)","2021-04-09",130500,43,0.879,0.434,0.403,0,0.209,-10.87,0.0357,103.261,1,1,130500,0.697,4,"0CzoQCylIwa6OXUACZY935","arab groove","lebanese indie",NA,NA,NA,NA,NA,NA,NA
"Love is All","The Tallest Man On Earth","The Wild Hunt","2010-04-13",255853,59,0.931,0.624,0.252,0.000421,0.104,-11.502,0.03,107,2,1,255853,0.367,4,"5u9NUat59IiQFVEzZ4r3Np","chamber pop","indie folk","stomp and holler","swedish americana","swedish singer-songwriter",NA,NA,NA,NA
"You're Gonna Live Forever in Me","John Mayer","The Search for Everything","2017-04-14",190013,75,0.983,0.542,0.131,0.00544,0.156,-14.104,0.0316,136.161,7,1,190013,0.319,4,"51lPx6ZCSalL2kvSrDUyJc","neo mellow","singer-songwriter",NA,NA,NA,NA,NA,NA,NA
"Skinny Love","Scary Pockets","Modern Art","2019-09-27",224150,40,0.366,0.697,0.459,0.000106,0.085,-8.583,0.12,147.536,0,1,224150,0.676,4,"3S196HxxjdC6eRSdRd33RV","retro soul",NA,NA,NA,NA,NA,NA,NA,NA
"Danse Macabre, Op. 40, R.171","Orchestre Symphonique de Montréal","Danse Macabre","2016-10-14",442693,54,0.898,0.371,0.131,0.925,0.0847,-23.899,0.0422,106.872,7,0,442693,0.0656,4,"4PRnYCH5hoxypKVcOBvx3a","orchestra",NA,NA,NA,NA,NA,NA,NA,NA
"My Shot","Lin-Manuel Miranda","Hamilton (Original Broadway Cast Recording)","2015-09-25",333154,71,0.15,0.698,0.649,0,0.0903,-6.764,0.415,180.466,8,1,333154,0.568,4,"4cxvludVmQxryrnx1m9FqL","broadway","show tunes",NA,NA,NA,NA,NA,NA,NA
"I Miei Primi Sei Mesi Da Rockstar","Giovanni Truppi","Poesia E Civiltà","2019-03-22",253289,19,0.209,0.697,0.605,0,0.0835,-7.231,0.029,88.966,2,1,253289,0.465,4,"38bILcAcgTCwyVD70PnQwx","italian alternative","italian indie pop",NA,NA,NA,NA,NA,NA,NA
"The Less I Know The Better","Tame Impala","Currents","2015-07-17",216320,87,0.0115,0.64,0.74,0.00678,0.167,-4.083,0.0284,116.879,4,1,216320,0.785,4,"6K4t31amVTZDgR3sKmwUJJ","australian psych","modern rock","neo-psychedelic","rock",NA,NA,NA,NA,NA
"Boho Days","The Cast of Netflix's Film tick, tick... BOOM!","tick, tick... BOOM! (Soundtrack from the Netflix Film)","2021-11-12",88281,57,0.766,0.781,0.595,0,0.342,-8.904,0.859,81.379,1,1,88281,0.865,4,"7k5agf3Bo48jyzXrvrMuhb",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8 Humoresques, Op. 101, B. 187: No. 7 Poco Lento e grazioso","Antonín Dvořák","Dvořák: 8 Humoresques, Op. 101, B. 187: No. 7 Poco Lento e grazioso","2021-12-03",169826,16,0.994,0.398,0.0347,0.899,0.0928,-24.751,0.0455,130.041,6,1,169826,0.132,4,"0SwShEoOkU8yGjggcWhFsD","classical","czech classical","late romantic era",NA,NA,NA,NA,NA,NA
"Requiem No. 1 in C Minor: Graduale: Requiem aeternam","Luigi Cherubini","Cherubini: Requiem / Marche Funebre","2000-08-24",93800,41,0.99,0.185,0.0524,0.622,0.0537,-28.193,0.0432,111.389,7,0,93800,0.0378,4,"6vfMlDg7C96h7OkWT3rJED","classical era",NA,NA,NA,NA,NA,NA,NA,NA
"I’ll Be Your Mirror","Courtney Barnett","I’ll Be Your Mirror","2021-08-27",147666,45,0.791,0.698,0.233,0,0.111,-11,0.0657,109.751,10,1,147666,0.464,4,"6WhararZxL2vL7XyL3UO0N","art pop","australian indie","chamber pop","indie pop","indie rock","melbourne indie","noise pop","seattle indie","singer-songwriter"
"Dancing Through Life - From ""Wicked"" Original Broadway Cast Recording/2003","Stephen Schwartz","Wicked","2004-01-01",457333,32,0.609,0.463,0.442,0,0.181,-8.754,0.0535,116.578,0,1,457333,0.319,4,"01SJ6fcWDfniPaak8aDhkv","broadway","show tunes",NA,NA,NA,NA,NA,NA,NA
"Stay, I Pray You","Lynn Ahrens","Anastasia (Original Broadway Cast Recording)","2017-06-09",206146,47,0.917,0.183,0.27,0,0.105,-12.542,0.0569,197.058,3,0,206146,0.131,5,"3JNZrGCOFVHwoKUwkNL0hT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stage Name","Van Morrison","What’s It Gonna Take?","2022-05-20",268373,24,0.643,0.774,0.69,8.7e-05,0.141,-6.925,0.033,128.922,7,1,268373,0.896,4,"5azcK9ssSsuN2BV9gNcO8s","classic rock","folk","folk rock","heartland rock","mellow gold","rock","singer-songwriter","soft rock",NA
"Dvořák / Arr. Parhamovsky for Violin and Instrumental Ensemble: 8 Humoresques, Op. 101, B. 187: No. 7 in G-Flat Major","Maxim Vengerov","Phénoménal Vengerov","2011-05-02",199213,3,0.986,0.308,0.0886,0.0478,0.236,-22.518,0.0484,66.021,7,1,199213,0.205,3,"2TSzx3qw0nmpGSGFiJ0KKw","violin",NA,NA,NA,NA,NA,NA,NA,NA
"Always On My Mind","Chris Staples","Golden Age","2016-08-19",175280,49,0.913,0.612,0.146,0.0124,0.324,-14.351,0.0346,95.578,0,1,175280,0.306,4,"4lMl6gcFCoi3iRSyUt7VkK","stomp and flutter",NA,NA,NA,NA,NA,NA,NA,NA
"Memoir - Live at RAK","Villagers","Where Have You Been All My Life?","2016-01-08",206986,27,0.845,0.57,0.419,0.00021,0.106,-13.225,0.169,89.567,0,1,206986,0.489,4,"09drHik1ZjOmDRyIyBqHuG","chamber pop","indie folk","irish rock",NA,NA,NA,NA,NA,NA
"Immensità","Andrea Laszlo De Simone","Immensità","2019-11-08",221270,47,0.831,0.623,0.44,0.934,0.065,-12.185,0.0309,115.006,3,1,221270,0.61,3,"0kYQPSgdGDJ8nhaXMjqhSu","italian alternative","italian indie pop","turin indie",NA,NA,NA,NA,NA,NA
"La Stagione Dell'Amore - Remastered 2008","Franco Battiato","Orizzonti Perduti (2008 Remastered Edition)","1983",229693,53,0.577,0.689,0.533,2.4e-05,0.262,-10.301,0.0486,117.365,7,1,229693,0.367,4,"7lhMwmewNFbRl8EuVZ9eFb","classic italian pop","experimental","italian adult pop",NA,NA,NA,NA,NA,NA
"Stardust","Hoagy Carmichael","The Stardust Road","1947-01-01",146346,52,0.96,0.658,0.0542,0.106,0.106,-19.427,0.0596,90.138,8,1,146346,0.345,4,"0VX8ptOQhUt1SIOHYLZGNN","tin pan alley","vintage jazz",NA,NA,NA,NA,NA,NA,NA
"Mind Over Matter","Young the Giant","Mind Over Matter","2014-01-17",244693,76,0.000501,0.466,0.763,0,0.0973,-4.448,0.0318,154.914,0,1,244693,0.293,4,"5Az8KU81g2aLBbJN67F2CI","indietronica","modern alternative rock","modern rock","pov: indie","stomp and holler",NA,NA,NA,NA
"In a Crowd of Thousands","Lynn Ahrens","Anastasia (Original Broadway Cast Recording)","2017-06-09",225506,51,0.884,0.289,0.198,0,0.0974,-12.753,0.0434,185.196,4,1,225506,0.174,3,"5cdvyKY2z1kySEnUKI0VuO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helpless","Lin-Manuel Miranda","Hamilton (Original Broadway Cast Recording)","2015-09-25",249770,71,0.334,0.688,0.491,0,0.0914,-7.494,0.269,79.009,5,1,249770,0.737,4,"54Sc7mZQ1RM03STpk4SfaA","broadway","show tunes",NA,NA,NA,NA,NA,NA,NA
"Nothing Arrived - Live from Spotify London","Villagers","Spotify Sessions","2013-02-18",219093,65,0.929,0.579,0.415,0.0018,0.671,-11.599,0.0397,102.713,7,1,219093,0.42,4,"0TQ8ZHFhrbH9I0WRjIzOCQ","chamber pop","indie folk","irish rock",NA,NA,NA,NA,NA,NA
"Perfect Blue","Elle Valenci","Perfect Blue","2019-05-03",206000,60,0.895,0.565,0.273,0.00223,0.101,-12.123,0.0947,70.828,0,0,206000,0.291,4,"0u834tjHl0zB9xdPO5KrQX","nouvelle chanson francaise",NA,NA,NA,NA,NA,NA,NA,NA
"Oh My Love","Jacky Terrasson","Gouache","2012-01-01",287933,42,0.968,0.535,0.0889,0.00213,0.116,-16.771,0.0384,122.339,1,0,287933,0.265,4,"22ckf5hC1cnHnFPY6pxINQ","german jazz","jazz piano","modern jazz piano","straight-ahead jazz",NA,NA,NA,NA,NA
"Good News","Mac Miller","Circles","2020-01-17",342040,75,0.853,0.794,0.32,0.134,0.112,-12.92,0.173,174.088,1,0,342040,0.241,4,"1DWZUa5Mzf2BwzpHtgbHPY","hip hop","pittsburgh rap","pop rap","rap",NA,NA,NA,NA,NA
"Dawning On Me","Villagers","Darling Arithmetic","2015-04-13",199773,56,0.955,0.482,0.305,0.836,0.0875,-14.315,0.0341,94.71,7,1,199773,0.463,4,"1widQ9TODdm2HQT95lgfQg","chamber pop","indie folk","irish rock",NA,NA,NA,NA,NA,NA
"Paul","Big Thief","Masterpiece","2016-05-27",183894,67,0.215,0.477,0.264,0.000321,0.108,-11.536,0.0399,123.458,11,1,183894,0.171,4,"2MYidPOz5NHAtKUySTzbwx","art pop","brooklyn indie","chamber pop","countrygaze","indie pop","indie rock","singer-songwriter","small room",NA
"Everything to Win","Lynn Ahrens","Anastasia (Original Broadway Cast Recording)","2017-06-09",167160,41,0.864,0.334,0.207,7.89e-05,0.111,-12.369,0.0356,79.884,5,1,167160,0.176,4,"3ND1Fohc2kkhgu4gSQ2DbA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kerosene","Scary Pockets","Kerosene","2022-03-16",228870,26,0.0734,0.69,0.5,1.54e-05,0.0972,-5.861,0.0556,81.45,1,1,228870,0.906,4,"7y2sgQ3j0bs7Dz1dYOZbk2","retro soul",NA,NA,NA,NA,NA,NA,NA,NA
"E io ci sto","Rino Gaetano","E Io Ci Sto","1980-07-07",246666,44,0.489,0.712,0.677,0,0.144,-12.533,0.0689,118.378,0,1,246666,0.772,4,"3xlT47mqq4g5lTCSsX0hP8","canzone d'autore","classic italian pop","italian adult pop",NA,NA,NA,NA,NA,NA
"Blue Spotted Tail","Fleet Foxes","Helplessness Blues","2011-05-03",185293,40,0.909,0.426,0.0514,0.00138,0.108,-21.369,0.0735,88.907,7,1,185293,0.265,4,"6ZbdcZO79W18dTwXf356Gp","chamber pop","folk","indie folk","indie rock","indietronica","modern rock","seattle indie","singer-songwriter","stomp and holler"
"Notti In Bianco","BLANCO","Notti In Bianco","2020-07-23",176400,58,0.355,0.58,0.778,0,0.0769,-4.141,0.0473,150.096,6,1,176400,0.612,4,"38UoVEHcZ85EGBo6k79643","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA
"Blue Sea, Red Sea","Billie Marten","Blue Sea, Red Sea","2018-11-06",233417,33,0.777,0.699,0.466,0.000447,0.0938,-11.781,0.0287,120.914,2,1,233417,0.547,4,"1TNIPwsB6knLXdlfjjnPTX","british singer-songwriter","indie anthem-folk",NA,NA,NA,NA,NA,NA,NA
"Joe","Meskerem Mees","Julius","2021-11-12",192466,49,0.857,0.585,0.179,2.81e-06,0.105,-14.271,0.0533,53.432,3,1,192466,0.338,4,"0uLrfjlCV5eCQcEwwmz8uX","belgian singer-songwriter",NA,NA,NA,NA,NA,NA,NA,NA
"Lucky Sometimes","Pokey LaFarge","Rock Bottom Rhapsody","2020-04-10",283704,37,0.889,0.403,0.374,2.56e-05,0.113,-7.549,0.0329,109.533,3,1,283704,0.225,3,"3U03XCOp9QMunVju5hg4jt","new americana",NA,NA,NA,NA,NA,NA,NA,NA
"Rivers","The Tallest Man On Earth","Rivers","2016-08-17",236853,53,0.959,0.562,0.25,0.000836,0.107,-11.977,0.0325,100.804,5,1,236853,0.595,4,"1dBje6EOpDBLdoKGo94DEa","chamber pop","indie folk","stomp and holler","swedish americana","swedish singer-songwriter",NA,NA,NA,NA
"Bless the Telephone","Labi Siffre","The Singer & The Song","1971",100746,63,0.978,0.567,0.175,2.14e-05,0.103,-17.466,0.0483,135.521,2,0,100746,0.229,4,"0620OecAlwJQxWieRW4L9s","classic uk pop",NA,NA,NA,NA,NA,NA,NA,NA
"I Like the Way This Is Going","Eels","Tomorrow Morning","2010-08-24",155106,49,0.91,0.476,0.255,0.567,0.139,-12.285,0.0297,170.016,9,1,155106,0.275,4,"3cNLV4YEooA0cFoSCHU5NF","alternative rock","chamber pop","melancholia",NA,NA,NA,NA,NA,NA
"Alexander Hamilton","Lin-Manuel Miranda","Hamilton (Original Broadway Cast Recording)","2015-09-25",236737,73,0.522,0.609,0.435,0,0.118,-7.861,0.285,131.995,11,0,236737,0.552,4,"4TTV7EcfroSLWzXRY6gLv6","broadway","show tunes",NA,NA,NA,NA,NA,NA,NA
"Vanilla (Stairwell Version)","Holly Humberstone","Vanilla (Stairwell Version)","2020-10-28",246070,49,0.881,0.396,0.276,0,0.155,-9.238,0.0749,80.573,0,1,246070,0.394,4,"7yuecadXy2rAgc6Id2D6Qw","alt z","indie pop","modern alternative pop","uk pop",NA,NA,NA,NA,NA
"Ginga (feat. Francesca Michielin & Margherita Vicario)","Gaia","Alma","2021-10-29",195508,34,0.427,0.779,0.663,6.2e-05,0.11,-7.722,0.23,169.929,9,0,195508,0.689,4,"4r19wiheQVJoISYbEbDbAe","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"I Want a Little Sugar In My Bowl","Nina Simone","Nina Simone Sings The Blues (Expanded Edition)","1967",152106,59,0.895,0.626,0.312,2.94e-06,0.181,-9.246,0.0332,98.708,6,1,152106,0.298,3,"3NcJu9876GBJuNU6vJOrbb","jazz blues","neo soul","soul","soul jazz","torch song","vocal jazz",NA,NA,NA
"Days Aren't Long Enough","Various Artists","Modern Love: Season 1 (Music From The Amazon Original Series)","2019-10-25",232573,37,0.74,0.496,0.408,0.00218,0.11,-13.091,0.0442,113.045,4,1,232573,0.172,4,"3wU4ZxBCclllaU991Z2uyu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"abcdefu","GAYLE","abcdefu","2021-08-13",168601,82,0.299,0.695,0.54,0,0.367,-5.692,0.0493,121.932,4,1,168601,0.415,4,"4fouWK6XVHhzl78KzQ1UjL","modern alternative pop",NA,NA,NA,NA,NA,NA,NA,NA
"Take Five (with The Dave Brubeck Quartet) - Single Version","The Dave Brubeck Quartet","Sony Jazz Trios","2001-10-28",137906,48,0.349,0.616,0.384,0,0.104,-12.445,0.0957,163.52,0,0,137906,0.721,5,"6WuFYOVz5mjfT1QU1beDbi","bebop","jazz","jazz quartet",NA,NA,NA,NA,NA,NA
"Água de Beber","Astrud Gilberto","The Astrud Gilberto Album","1965-01-01",138013,67,0.439,0.653,0.319,0,0.0906,-17.813,0.0364,147.858,4,0,138013,0.845,4,"3QKJELWORZZ7rUZDWeMWSA","bossa nova","brazilian jazz","lounge","samba-jazz","vocal jazz",NA,NA,NA,NA
"For No One","Anne Sofie von Otter","For The Stars","2001-01-01",118333,34,0.906,0.467,0.155,2.85e-05,0.113,-15.97,0.066,163.402,7,0,118333,0.422,4,"0zZYmoR3fRIUkcCuoHYbyy","classical mezzo-soprano","classical performance","opera",NA,NA,NA,NA,NA,NA
"What He Wrote","Laura Marling","I Speak Because I Can","2010-01-01",247123,58,0.948,0.458,0.0987,0.00954,0.109,-16.021,0.0376,139.987,9,0,247123,0.349,3,"2CTOa3CEBts3p1NyTVLTXU","british folk","british singer-songwriter","chamber pop","singer-songwriter",NA,NA,NA,NA,NA
"This Will Be Our Year","The Zombies","Odessey and Oracle","1968",127733,60,0.626,0.524,0.424,0,0.191,-7.491,0.0311,97.283,9,1,127733,0.534,4,"560OsnDa7tpsK2B0krVlOP","baroque pop","british invasion","classic rock","folk rock","psychedelic rock",NA,NA,NA,NA
"Lonesome No More","Laura Jean Anderson","Lonesome No More","2019-04-05",183850,30,0.905,0.546,0.0834,0.000288,0.109,-10.932,0.0396,111.02,7,0,183850,0.336,4,"47Zx1M36wjNHmRpPa2qInz","la indie",NA,NA,NA,NA,NA,NA,NA,NA
